title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Stocks Slide as Tech Stalls Again,Stocks Slide as Tech Stalls Again,2020-07-29 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26138,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,68,"['BGS', 'NTGR', 'TPB', 'CSPR', 'STKL', 'LVS', 'INCY', 'NEO', 'MIME', 'MPC', 'NVCR', 'MTCH', 'RUN', 'TJX', 'VFC', 'XYL', 'YNDX', 'GOOG', 'AMZN', 'AAPL', 'PFE', 'MMM', 'MCD', 'AMD']",MCD,2020-07-29
These 3 Stocks Should Be in Every Retirement Portfolio,"As a retiree, you've earned the right to relax and have fun. Here are three stocks that will help you accomplish that goal.",2021-04-18 10:00:00+00:00,https://www.fool.com/investing/2021/04/18/these-3-stocks-should-be-in-every-retirement-portf/?source=iedfolrf0000001,The Motley Fool,0.2928571428571428,0.3678571428571429,positive,0.2928571428571428,False,False,False,False,False,False,False,False,0.0,179,"['MCD', 'SPY', 'PRU', 'VOO', 'IVV']",MCD,2021-04-18
Wall Street Breakfast: Up In Smoke,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",2021-04-20 11:18:30+00:00,https://seekingalpha.com/article/4419960-wall-street-breakfast-up-in-smoke?source=feed,Seeking Alpha,0.2,0.2,positive,0.2,False,False,False,False,False,False,False,False,0.0,173,"['TWTR', 'MO', 'PM', 'JNJ', 'LMT', 'PG', 'NFLX', 'KO', 'HOG', 'UAL', 'IBM', 'AAPL', 'GOOG', 'GOOGL', 'AMZN', 'AVAV', 'NVDA', 'FB', 'MCD', 'PYPL', 'XOM', 'TSLA', 'COIN']",MCD,2021-04-20
Tyson Begins $48 Million Poultry Production Expansion as Chicken Demand Soars,"The company is getting ready for the second round of the ""chicken sandwich wars.""",2021-04-23 16:17:00+00:00,https://www.fool.com/investing/2021/04/23/tyson-begins-48-million-poultry-production-expansi/?source=iedfolrf0000001,The Motley Fool,-0.24,0.5599999999999999,negative,0.24,False,False,True,False,True,False,False,False,0.0,160,"['TSN', 'MCD']",MCD,2021-04-23
McDonald's (MCD) Gains But Lags Market: What You Should Know,"In the latest trading session, McDonald's (MCD) closed at $234.58, marking a +0.7% move from the previous day.",2021-04-23 21:50:19+00:00,http://www.zacks.com/stock/news/1443413/mcdonalds-mcd-gains-but-lags-market-what-you-should-know?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_6v1-1443413,Zacks Investment Research,0.07777777777777779,0.3888888888888889,neutral,0.07777777777777779,False,False,False,False,False,False,False,False,0.0,172,['MCD'],MCD,2021-04-23
3 Things You'll Want to Know When McDonald's Reports Earnings,"The international fast-food restaurant chain will report first-quarter results on Thursday, April 29.",2021-04-25 12:00:00+00:00,https://www.fool.com/investing/2021/04/25/things-to-know-when-mcdonalds-report-earnings/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,164,['MCD'],MCD,2021-04-25
Why Chipotlanes Could Be Transformative for Chipotle,Drive-thrus have the potential to supercharge the burrito chain's growth.,2021-04-26 11:47:00+00:00,https://www.fool.com/investing/2021/04/26/why-chipotlanes-could-be-transformative-for-chipot/?source=iedfolrf0000001,The Motley Fool,0.0,1.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,127,"['CMG', 'MCD']",MCD,2021-04-26
Earnings Watch: Tesla and Big Tech are about to rev up the busiest week of earnings season,"The busiest week of earnings season is about to kick off, with Tesla and Big Tech companies expected to dominate the headlines.",2021-04-26 12:06:00+00:00,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D3B82044D216%7D&siteid=rss&rss=1,MarketWatch,-0.03333333333333333,0.20000000000000004,neutral,0.03333333333333333,True,False,False,False,False,False,False,False,0.0,219,"['TSLA', 'MSFT', 'GOOG', 'GOOGL', 'FB', 'SNAP', 'AAPL', 'AMZN', 'BA', 'CVX', 'AMD', 'INTC', 'PINS', 'TWTR', 'MDLZ', 'SBUX', 'DPZ', 'MCD', 'V', 'PYPL', 'MA']",MCD,2021-04-26
Robust Digital Sales to Drive McDonald's (MCD) Q1 Earnings,McDonald's (MCD) first-quarter 2021 results are likely to reflect increase in revenues at franchise-operated restaurants.,2021-04-26 12:23:00+00:00,http://www.zacks.com/stock/news/1455910/robust-digital-sales-to-drive-mcdonalds-mcd-q1-earnings?cid=CS-ZC-FT-analyst_blog|earnings_preview-1455910,Zacks Investment Research,0.0,0.5,neutral,0.0,True,False,False,False,False,False,False,False,0.0,181,"['DPZ', 'SBUX', 'MCD', 'EAT']",MCD,2021-04-26
Paul Brandus: Here’s where investors can find money in Biden’s climate-change goals,"The president wants to move the U.S. away from fossil fuels and toward solar and wind energy, and a lower carbon future.",2021-04-26 17:46:00+00:00,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D3BF142D0048%7D&siteid=rss&rss=1,MarketWatch,0.1,0.1125,neutral,0.1,False,False,False,False,False,False,False,False,0.0,205,"['ICLN', 'HASI', 'RDS.A', 'XOM', 'CVX', 'NRG', 'GM', 'F', 'WMT', 'AMZN', 'AAPL', 'GOOG', 'FB', 'GE', 'MCD', 'EQR', 'AVB']",MCD,2021-04-26
