title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
What's in Store for Synchrony Financial's (SYF) Q1 Earnings?,"Synchrony Financial's (SYF) Q1 earnings are expected to have gained from lower costs, partly offset by weak interest and fees on loans.",2021-04-23 15:36:00+00:00,http://www.zacks.com/stock/news/1442302/whats-in-store-for-synchrony-financials-syf-q1-earnings?cid=CS-ZC-FT-analyst_blog|earnings_preview-1442302,Zacks Investment Research,-0.11875,0.25625,negative,0.11875,True,False,False,False,False,False,False,False,0.0,197,"['MCO', 'MFC', 'SYF', 'VIRT']",MCO,2021-04-23
Looking for the Safest Stocks? Try This Dividend Aristocrat,This stock has returned almost 25% annually over the past 10 years.,2021-04-23 15:42:00+00:00,https://www.fool.com/investing/2021/04/23/looking-for-the-safest-stocks-try-this-dividend-ar/?source=iedfolrf0000001,The Motley Fool,-0.25,0.25,negative,0.25,False,False,False,False,False,True,False,False,0.0,128,"['SPGI', 'MCO']",MCO,2021-04-23
Should You Buy Moody's Corporation (MCO) Ahead of Earnings?,Moody's Corporation (MCO) is seeing favorable earnings estimate revision activity and has a positive Zacks Earnings ESP heading into earnings season.,2021-04-27 12:38:00+00:00,http://www.zacks.com/stock/news/1461258/should-you-buy-moodys-corporation-mco-ahead-of-earnings?cid=CS-ZC-FT-tale_of_the_tape|earnings_surprise-1461258,Zacks Investment Research,0.22727272727272727,0.5454545454545454,positive,0.22727272727272727,True,True,False,False,False,False,False,False,0.0,210,['MCO'],MCO,2021-04-27
Solid Bond Issuance Volume to Aid Moody's (MCO) Q1 Earnings,Impressive bond issuance volume and inorganic expansion efforts are expected to have supported Moody's (MCO) Q1 earnings.,2021-04-27 13:16:00+00:00,http://www.zacks.com/stock/news/1461749/solid-bond-issuance-volume-to-aid-moodys-mco-q1-earnings?cid=CS-ZC-FT-analyst_blog|earnings_preview-1461749,Zacks Investment Research,0.3,0.5,positive,0.3,True,False,False,False,False,False,False,False,0.0,182,"['MCO', 'TROW', 'CG', 'PB']",MCO,2021-04-27
"Synchrony Financial's (SYF) Q1 Earnings Beat, Surge Y/Y","Synchrony Financial's (SYF) first-quarter earnings gain from lower expenses and better other income, offset by lower loan receivables as well as net interest income.",2021-04-27 15:48:00+00:00,http://www.zacks.com/stock/news/1462475/synchrony-financials-syf-q1-earnings-beat-surge-y-y?cid=CS-ZC-FT-analyst_blog|earnings_article-1462475,Zacks Investment Research,0.075,0.175,neutral,0.075,True,False,False,False,False,False,False,False,0.0,222,"['MCO', 'AXP', 'DFS', 'SYF']",MCO,2021-04-27
Moody's (MCO) Q1 Earnings and Revenues Surpass Estimates,"Moody's (MCO) delivered earnings and revenue surprises of 45.00% and 12.59%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-04-28 12:25:06+00:00,http://www.zacks.com/stock/news/1466618/moodys-mco-q1-earnings-and-revenues-surpass-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1466618,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,242,['MCO'],MCO,2021-04-28
"Moody's (MCO) Stock Up on Q1 Earnings Beat, Raised 2021 View","Higher revenues and solid liquidity position support Moody's (MCO) Q1 earnings, while rise in expenses hurts.",2021-04-28 12:33:00+00:00,http://www.zacks.com/stock/news/1467013/moodys-mco-stock-up-on-q1-earnings-beat-raised-2021-view?cid=CS-ZC-FT-analyst_blog|earnings_article-1467013,Zacks Investment Research,0.125,0.3,positive,0.125,True,False,False,False,False,False,False,False,0.0,171,"['MCO', 'SLM', 'BX', 'KEY']",MCO,2021-04-28
Moody's Corp (MCO) Q1 2021 Earnings Call Transcript,"MCO earnings call for the period ending March 31, 2021.",2021-04-29 05:30:54+00:00,https://www.fool.com/earnings/call-transcripts/2021/04/29/moodys-corp-mco-q1-2021-earnings-call-transcript/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,108,['MCO'],MCO,2021-04-29
Outperforming The S&P 500 By Trading The Stocks From 40 Large Hedge Funds: Trading Update 5/1/2021,"From 1/2/2016 to date investing in all 50 stocks, equally weighted, would have produced a total return of 187.1%, an active return of 61.1% when compared SPY’s 126.2%.",2021-05-02 06:17:31+00:00,https://seekingalpha.com/article/4423449-outperforming-sp-500-trading-stocks-from-40-large-hedge-funds?source=feed,Seeking Alpha,0.020238095238095236,0.5071428571428571,neutral,0.020238095238095236,False,False,False,False,False,False,False,False,0.0,267,"['AAPL', 'ADBE', 'ADPT', 'ADSK', 'AMT', 'AMZN', 'BBIO', 'BSX', 'CHTR', 'COUP', 'CP', 'CRM', 'CRWD', 'CSGP', 'DHR', 'DIS', 'DOCU', 'FATE', 'FB', 'FIS', 'FISV', 'FOLD', 'GOOG', 'GOOGL', 'GPN', 'INTU', 'JPM', 'MA', 'MCO', 'MELI', 'MSFT', 'NFLX', 'NOW', 'NVDA', 'PDD', 'PTON', 'PYPL', 'QCOM', 'SGEN', 'SHOP', 'SNOW', 'SQ', 'TDG', 'TSLA', 'UBER', 'UNH', 'V', 'W', 'WDAY']",MCO,2021-05-02
Synchrony Financial (SYF) Up 184.9% in a Year: More Room to Run?,Synchrony Financial's (SYF) strategic measures and cost-curbing initiatives might perk up its shares.,2021-05-12 17:41:00+00:00,http://www.zacks.com/stock/news/1541842/synchrony-financial-syf-up-1849-in-a-year-more-room-to-run?cid=CS-ZC-FT-analyst_blog|price_surge_/_plunge-1541842,Zacks Investment Research,0.16666666666666666,0.16666666666666666,positive,0.16666666666666666,False,False,False,False,False,False,False,False,0.0,167,"['MCO', 'JEF', 'DFS', 'SYF']",MCO,2021-05-12
"Moody's (MCO), Team8 Complete $25M Investment in VisibleRisk",Moody's (MCO) and Team8 announce the completion of a $25-million investment in VisibleRisk as it launches Cyber Rating.,2021-05-13 13:21:00+00:00,http://www.zacks.com/stock/news/1546003/moodys-mco-team8-complete-%2425m-investment-in-visiblerisk?cid=CS-ZC-FT-analyst_blog|company_news_-_finance_sector-1546003,Zacks Investment Research,0.1,0.4,neutral,0.1,False,False,False,False,True,False,False,False,0.0,181,"['MCO', 'BX', 'IVZ', 'AMP']",MCO,2021-05-13
CIXX vs. MCO: Which Stock Is the Better Value Option?,CIXX vs. MCO: Which Stock Is the Better Value Option?,2021-05-17 15:40:09+00:00,http://www.zacks.com/stock/news/1565943/cixx-vs-mco-which-stock-is-the-better-value-option?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_3-1565943,Zacks Investment Research,0.5,0.5,positive,0.5,False,False,False,False,False,False,False,False,0.0,108,"['CIXX', 'MCO']",MCO,2021-05-17
Synchrony Financial (SYF) Arm Intends to Aid Denticon Users,Synchrony Financial (SYF) unit CareCredit intends to offer simplified financing options to the patients of Denticon clients.,2021-05-18 14:12:00+00:00,http://www.zacks.com/stock/news/1571137/synchrony-financial-syf-arm-intends-to-aid-denticon-users?cid=CS-ZC-FT-analyst_blog|company_news_-_finance_sector-1571137,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,185,"['MCO', 'JEF', 'SYF', 'CLBK']",MCO,2021-05-18
"Euronet (EEFT) Forms JV, Boosts Latin America Presence",Euronet (EEFT) ties up with Prosegur Cash to extend advanced ATM outsourcing services and establish independent ATMs across Latin American nations.,2021-05-20 13:45:00+00:00,http://www.zacks.com/stock/news/1581706/euronet-eeft-forms-jv-boosts-latin-america-presence?cid=CS-ZC-FT-analyst_blog|company_news_-_finance_sector-1581706,Zacks Investment Research,0.13333333333333333,0.24166666666666667,positive,0.13333333333333333,False,False,False,False,False,False,False,False,0.0,203,"['MCO', 'JEF', 'EEFT', 'CLBK']",MCO,2021-05-20
