title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Should Facebook Investors Respond More to Antitrust Concerns?,Will the idea of data privacy as a right ever become strong enough to hurt Facebook's defiant stock?,2020-01-17 11:00:00+00:00,https://www.fool.com/investing/2020/01/17/should-facebook-investors-respond-more-to-antitrus.aspx,The Motley Fool,0.30476190476190473,0.5672619047619047,positive,0.30476190476190473,False,False,False,False,False,False,False,False,0.0,163,['META'],META,2020-01-17
Wall Street Breakfast: The Week Ahead,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",2021-07-04 11:39:07+00:00,https://seekingalpha.com/article/4437779-wall-street-breakfast-week-ahead,Seeking Alpha,0.2,0.2,positive,0.2,False,False,False,False,False,False,False,False,0.0,176,"['SPCE', 'SGH', 'RSI', 'WDFC', 'HELE', 'PSMT', 'LEVI', 'GBX', 'MQ', 'BZ', 'MNDY', 'TASK', 'JANX', 'ZETA', 'DIBS', 'ATY', 'ZME', 'SBEV', 'CGEM', 'GRCL', 'MSGN', 'MSGE', 'MMAC', 'SFET', 'MCD', 'CMCSA', 'CCXI', 'MORF', 'VCNX', 'SNCY', 'MESA', 'HA', 'COST', 'META', 'NVDA', 'RBLX', 'MSFT', 'FSLY', 'COIN', 'IMMR', 'RAD', 'RYAAY', 'BKNG']",META,2021-07-04
"Facebook Bets Big On Metaverse: Why It's Important For The Industry, FB Stock","Earlier this month, Facebook Inc (NASDAQ: FB) CEO Mark Zuckerberg told employees the company would put new emphasis on growing the metaverse.
""In the coming years, I expect people will transition from seeing us primarily as a social media company to seeing us as a metaverse company,” Zuckerberg reiterated Wednesday afternoon during the company's second-quarter conference call.
Here’s what the metaverse means, how Facebook can grow the sector and a way to invest in the sector.
The Metaverse: The metaverse was first coined in the 1992 science fiction novel ""Snow Crash"" by Neal Stephenson. The term represents a meeting of the physical world with augmented and virtual reality.
Companies like Roblox Corp (NYSE: RBLX), Fortnite and Animal Crossing from Nintendo Co (Pink: NTDOY) have been mentioned as metaverse companies connecting users to a digital world.
Venture capitalist Matthew Ball published an essay in 2020 highlighting the key characteristics of this new segment.
Facebook VP of VR and AR Andrew Bosworth said recently Facebook was already connecting to the metaverse with the Facebook Reality Labs division.
See Also: Facebook Q2 Earnings Takeaways: Big Revenue Beat, Cautious Outlook
Facebook’s Role: Facebook can transport a person into a room with another person using virtual worlds.
“But to achieve our full vision of the metaverse, we also need to build the connective tissue between these spaces, so you ...",2021-07-28 22:39:56+00:00,https://www.benzinga.com/news/21/07/22206629/facebook-bets-big-on-metaverse-why-its-important-for-the-industry-fb-stock,Benzinga,0.08614718614718615,0.37513914656771796,neutral,0.08614718614718615,True,False,True,False,False,False,True,False,0.2,1510,"['AMZN', 'MSFT', 'NVDA', 'FB', 'META', 'RBLX']",META,2021-07-28
Most Interesting New ETFs of 2021,We highlight four interesting ETFs that launched recently,2021-08-05 18:28:00+00:00,https://www.zacks.com/stock/news/1775464/most-interesting-new-etfs-of-2021,Zacks Investment Research,0.32727272727272727,0.4409090909090909,positive,0.32727272727272727,False,False,False,False,True,False,False,False,0.0,92,"['AAPL', 'MSFT', 'XOM', 'NVDA', 'AMC', 'VTI', 'VOO', 'IVV', 'ARKX', 'VOTE', 'META', 'LOPX']",META,2021-08-05
Opinion: The metaverse — a merging of realities — is being built out this decade so you can live in it,"The barriers between physical and virtual space are melting away, creating a new place to work, share experiences and buy things.",2021-08-14 19:25:00+00:00,https://www.marketwatch.com/story/the-metaverse-a-merging-of-realities-is-being-built-out-this-decade-so-you-can-live-in-it-11628768769,MarketWatch,0.0909090909090909,0.3658008658008658,neutral,0.0909090909090909,False,True,False,False,False,False,False,False,0.0,233,"['FB', 'SBUX', 'AMZN', 'META', 'RBLX', 'U', 'SE']",META,2021-08-14
Best Stocks & ETF for the Trillion-Dollar Metaverse,The Metaverse will transform our lives and become a significant investment opportunity.,2021-08-16 20:38:00+00:00,https://www.zacks.com/stock/news/1782481/best-stocks-etf-for-the-trillion-dollar-metaverse,Zacks Investment Research,0.6875,0.5875,positive,0.6875,False,False,False,False,False,False,False,False,0.0,140,"['MSFT', 'NVDA', 'FB', 'RBLX', 'META']",META,2021-08-16
Why Netflix's Video Game Launch Is Critical For Streaming Platform: Matthew Ball,"Investors and metaverse expert Matthew Ball has released his latest industry essay, and the subject of the new piece explores why Netflix Inc (NASDAQ: NFLX) could be getting into video games and what kind of success the company may have.
Ball is a partner in the Roundhill Ball Metaverse ETF (NYSE: META), which began trading earlier this year.
Netflix And Video Games: While Netflix getting into video games has been rumored for years, the talk really heated up this year when the company offered hints during an earnings call in April.
Ball has argued for Netflix to get into video games dating back to 2018, when he said it was unlikely the streaming giant would pursue live sports or live news, but a launch into gaming “felt inevitable given the company’s culture and growing scale.”
Netflix CEO Reed Hastings said in 2018 that ""Fortnite"" was the company’s biggest competition. The statement came 41 days after Ball tweeted a similar thought about a competition for entertainment time.
Why Netflix Is Getting Into Games: Ultimately, Netflix’s entry into the game is more about leisure time than money, Ball argues.
“Hollywood’s newfound focus on attention competition reflects a fundamental and relatively recent change ...",2021-08-26 15:56:49+00:00,https://www.benzinga.com/news/21/08/22667296/why-netflixs-video-game-launch-is-critical-for-streaming-platform-matthew-ball,Benzinga,0.052121212121212124,0.5268939393939395,neutral,0.052121212121212124,True,False,False,False,True,False,True,False,0.2,1310,"['AAPL', 'AMZN', 'MSFT', 'NFLX', 'META']",META,2021-08-26
Winners And Losers,"If interest rates go up, tech/REITs are the losers, while energy/financials are the winners. If rates move lower, the opposite is true. A rise in rates will also affect the broader market.",2021-10-11 06:20:00+00:00,https://seekingalpha.com/article/4459299-winners-and-losers,Seeking Alpha,-0.012500000000000011,0.2625,neutral,0.012500000000000011,False,False,False,False,False,False,False,False,0.0,208,"['TBT', 'TLT', 'TMV', 'IEF', 'SHY', 'TBF', 'EDV', 'TMF', 'PST', 'TTT', 'VGLT', 'TLH', 'IEI', 'BIL', 'TYO', 'UBT', 'UST', 'PLW', 'VGSH', 'SHV', 'VGIT', 'GOVT', 'SCHO', 'TBX', 'SCHR', 'GSY', 'TYD', 'EGF', 'FIBR', 'GBIL', 'UDN', 'USDU', 'UUP', 'RINF', 'AGZ', 'SPTS', 'FTSD', 'LMBS', 'ACTV', 'AFMC', 'AFSM', 'AMER', 'ARKK', 'AVUV', 'BAPR', 'BAUG', 'BBMC', 'BBSC', 'BFOR', 'BFTR', 'BJUL', 'BJUN', 'BKMC', 'BKSE', 'BMAR', 'BMAY', 'BOCT', 'BOSS', 'BOUT', 'BUFF', 'BUL', 'CALF', 'CATH', 'CBSE', 'CSA', 'CSB', 'CSD', 'CSF', 'CSML', 'CWS', 'CZA', 'DDIV', 'DEEP', 'DES', 'DEUS', 'DFAS', 'DFAT', 'DGRS', 'DIA', 'DIV', 'DJD', 'DMRL', 'DMRM', 'DMRS', 'DON', 'DSPC', 'DVLU', 'DWAS', 'DWMC', 'EES', 'EFIV', 'EPS', 'EQAL', 'ESML', 'ETHO', 'EWMC', 'EWSC', 'EZM', 'FAB', 'FAD', 'FDM', 'FFTY', 'FLQM', 'FLQS', 'FNDA', 'FNK', 'FNX', 'FNY', 'FOVL', 'FRTY', 'FSMD', 'FSMO', 'FTA', 'FYC', 'FYT', 'FYX', 'GBGR', 'GLRY', 'GSSC', 'HAIL', 'HIBL', 'HIBS', 'HLGE', 'HOMZ', 'HSMV', 'IJH', 'IJJ', 'IJK', 'IJR', 'IJS', 'IJT', 'IMCB', 'IMCG', 'IMCV', 'IPO', 'ISCB', 'ISCG', 'ISCV', 'ISMD', 'IUSS', 'IVDG', 'IVE', 'IVOG', 'IVOO', 'IVOV', 'IVV', 'IVW', 'IWC', 'IWM', 'IWN', 'IWO', 'IWP', 'IWR', 'IWS', 'IYY', 'JDIV', 'JHMM', 'JHSC', 'JPME', 'JPSE', 'JSMD', 'JSML', 'KAPR', 'KJAN', 'KJUL', 'KNG', 'KOMP', 'KSCD', 'LSAT', 'MDY', 'MDYG', 'MDYV', 'MFMS', 'MGMT', 'MID', 'MIDE', 'MIDF', 'NAPR', 'NIFE', 'NJAN', 'NOBL', 'NUMG', 'NUMV', 'NUSC', 'NVQ', 'OMFS', 'ONEO', 'ONEQ', 'ONEV', 'ONEY', 'OSCV', 'OUSM', 'OVS', 'PAMC', 'PAPR', 'PAUG', 'PBP', 'PBSM', 'PEXL', 'PEY', 'PJAN', 'PJUN', 'PLTL', 'PRFZ', 'PSC', 'PTMC', 'PUTW', 'PWC', 'PY', 'QDIV', 'QMOM', 'QQC', 'QQD', 'QQEW', 'QQQ', 'QQQA', 'QQQE', 'QQQJ', 'QQQM', 'QQQN', 'QQXT', 'QTEC', 'QVAL', 'QVML', 'QVMM', 'QVMS', 'QYLD', 'QYLG', 'REGL', 'RFG', 'RFV', 'RNMC', 'RNSC', 'ROSC', 'RPG', 'RPV', 'RSP', 'RWJ', 'RWK', 'RWL', 'RYJ', 'RYT', 'RZG', 'RZV', 'SCHA', 'SCHM', 'SDS', 'SDVY', 'SFYX', 'SH', 'SIXL', 'SIXS', 'SLY', 'SLYG', 'SLYV', 'SMCP', 'SMDV', 'SMDY', 'SMLE', 'SMLF', 'SMLV', 'SMMD', 'SMMV', 'SNPE', 'SPAK', 'SPAX', 'SPDN', 'SPDV', 'SPGP', 'SPHB', 'SPHD', 'SPHQ', 'SPLG', 'SPLV', 'SPMD', 'SPMO', 'SPMV', 'SPSM', 'SPUS', 'SPUU', 'SPVM', 'SPVU', 'SPXE', 'SPXL', 'SPXN', 'SPXS', 'SPXT', 'SPXU', 'SPXV', 'SPXZ', 'SPY', 'SPYD', 'SPYG', 'SPYV', 'SPYX', 'SQEW', 'SQLV', 'SSLY', 'SSO', 'SSPY', 'STLV', 'SVAL', 'SYLD', 'TMDV', 'TPHD', 'TPLC', 'TPSC', 'TUSA', 'UAUG', 'UJAN', 'UMAR', 'UMAY', 'UOCT', 'UPRO', 'USEQ', 'USLB', 'USMC', 'USMF', 'USVM', 'VB', 'VBK', 'VBR', 'VFLQ', 'VFMF', 'VFMO', 'VFMV', 'VFQY', 'VFVA', 'VIOG', 'VIOO', 'VIOV', 'VO', 'VOE', 'VOO', 'VOOG', 'VOOV', 'VOT', 'VRAI', 'VTWG', 'VTWO', 'VTWV', 'VUSE', 'VXF', 'VXX', 'VXZ', 'WBIY', 'WEBL', 'WEBS', 'WWOW', 'XJH', 'XJR', 'XLG', 'XMHQ', 'XMLV', 'XMMO', 'XMVM', 'XRLV', 'XSHD', 'XSHQ', 'XSLV', 'XSMO', 'XSVM', 'XVV', 'XYLD', 'XYLG', 'YPS', 'SMH', 'XLK', 'IGN', 'IGM', 'IXN', 'IYW', 'VGT', 'IGV', 'PSI', 'PSJ', 'PXQ', 'FDN', 'XSD', 'PTF', 'FXL', 'XSW', 'AIQ', 'BUG', 'TDV', 'WFH', 'XNTK', 'PNQI', 'PSCT', 'NXTG', 'SOXX', 'GAMR', 'SKYY', 'SOCL', 'TDIV', 'FTEC', 'ARKQ', 'ARKW', 'HACK', 'CIBR', 'JHMT', 'ITEQ', 'XITK', 'XWEB', 'PRNT', 'FINX', 'SNSR', 'FTXL', 'FITE', 'DTEC', 'IZRL', 'BLOK', 'BLCN', 'LEGR', 'ROBT', 'KOIN', 'EKAR', 'IETC', 'OGIG', 'IRBO', 'LOUP', 'QTUM', 'ESPO', 'ARKF', 'CLOU', 'IHAK', 'TPAY', 'WCLD', 'HERO', 'FNGS', 'LRNZ', 'WUGI', 'THNQ', 'TECB', 'BTEK', 'ANEW', 'MOON', 'ARKX', 'GINN', 'WCBR', 'DAPP', 'ILDR', 'IDAT', 'SOXQ', 'META', 'VCLO', 'VFIN', 'XPND', 'XDAT', 'SUBZ', 'VCAR', 'XT', 'XLF', 'IYF', 'IXG', 'IYG', 'VFH', 'KCE', 'KBE', 'KIE', 'IAI', 'IAK', 'IAT', 'KRE', 'RYF', 'PFI', 'FXO', 'QABA', 'EUFN', 'PSCF', 'KBWD', 'KBWP', 'KBWB', 'KBWR', 'BIZD', 'FNCL', 'JHMF', 'BDCZ', 'FTXO', 'DFNL', 'IEFN', 'VNQ', 'RQI', 'RNP', 'IYR', 'XLRE', 'RFI', 'KBWY', 'SCHH', 'NRO', 'FREL', 'SRVR', 'JRS', 'DRN', 'USRT', 'ICF', 'RWR', 'DRV', 'URE', 'SRS', 'FRI', 'REK', 'PSR', 'BBRE', 'PPTY', 'XLE', 'IYE', 'OIH', 'VDE', 'IXC', 'PXE', 'PXJ', 'IEO', 'IEZ', 'XES', 'XOP', 'RYE', 'PXI', 'FXN', 'FCG', 'PSCE', 'FILL', 'FRAK', 'FENY', 'CRAK', 'JHME', 'FTXN', 'CNRG', 'HDRO', 'SULR']",META,2021-10-11
"Stocks To Watch: Apple Earnings, Facebook Talks Metaverse And GlobalFoundries IPO","Get ahead of the market by subscribing to Seeking Alpha's Stocks to Watch, a preview of key events scheduled for the coming week",2021-10-23 14:27:03+00:00,https://seekingalpha.com/article/4461616-stocks-to-watch-apple-earnings-facebook-talks-metaverse-and-globalfoundries-ipo,Seeking Alpha,0.0,1.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,211,"['AAPL', 'ABBV', 'AMD', 'AMZN', 'BITO', 'BTF', 'CMCSA', 'CMS', 'COIN', 'CVX', 'DDOG', 'EVR', 'EXR', 'F', 'FB', 'FFIV', 'FIX', 'GM', 'GOOG', 'HOOD', 'KO', 'LHX', 'LMT', 'MA', 'MCD', 'META', 'MO', 'MRK', 'MSFT', 'NXPI', 'OSK', 'PFE', 'POWI', 'QCOM', 'RGR', 'RTX', 'SBUX', 'TEAM', 'TWTR', 'UHS', 'UPS', 'V', 'WBA', 'XOM']",META,2021-10-23
Wall Street Breakfast: The Week Ahead,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",2021-10-24 11:01:44+00:00,https://seekingalpha.com/article/4461662-wall-street-breakfast-week-ahead,Seeking Alpha,0.2,0.2,positive,0.2,False,False,False,False,False,False,False,False,0.0,176,"['AAPL', 'AMZN', 'FB', 'GOOG', 'MSFT', 'BITO', 'BTF', 'DWAC', 'KMB', 'UHS', 'UPS', 'GE', 'LMT', 'TWTR', 'FFIV', 'HAS', 'V', 'HOOD', 'AMD', 'BA', 'KO', 'KHC', 'MCD', 'EBAY', 'F', 'GM', 'CAT', 'MRK', 'MA', 'TEAM', 'MO', 'HSY', 'CMCSA', 'KDP', 'SBUX', 'XOM', 'ABBV', 'CHD', 'CVX', 'CL', 'LHX', 'PFE', 'EYEN', 'EVR', 'GWW', 'EXR', 'CMS', 'RTX', 'COIN', 'DRVN', 'INTC', 'TSM', 'QCOM', 'NXPI', 'APH', 'POWI', 'BCC', 'OSK', 'FIX', 'RGR', 'DDOG', 'META', 'WBA', 'HAIN', 'CHK']",META,2021-10-24
