date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-28,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,256.0,MET
2021-05-02,-0.0625,,1,0.0625,0.0,1,0,1,0,0,0,0,0,206.0,MET
2021-05-03,0.08,,1,0.08,0.0,0,0,0,0,0,1,0,0,151.0,MET
2021-05-04,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,184.0,MET
2021-05-05,0.0151,0.0214,2,0.0151,0.0,2,0,1,0,1,0,0,0,6740.5,MET
2021-05-06,0.1667,0.2887,3,0.1667,0.0,2,0,0,0,0,0,0,0,156.3333,MET
2021-05-07,0.0492,,1,0.0492,0.0,1,0,0,0,0,0,0,0,209.0,MET
2021-05-10,0.1279,,1,0.1279,0.0,0,1,0,0,0,0,1,0,26901.0,MET
2021-05-28,0.1,0.1414,2,0.1,0.0,1,0,0,0,1,0,0,0,211.5,MET
2021-06-01,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,220.0,MET
2021-06-04,-0.0519,,1,0.0519,0.0,1,0,0,0,0,0,0,0,193.0,MET
2021-06-12,0.3929,,1,0.3929,0.0,0,0,1,0,0,0,0,0,157.0,MET
2021-06-15,0.1167,0.165,2,0.1167,0.0,1,1,1,0,0,0,0,0,240.5,MET
2021-06-17,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,206.0,MET
2021-06-18,0.0792,0.1709,2,0.1208,0.0,1,0,0,0,0,0,0,0,243.5,MET
2021-06-21,0.4889,0.0157,2,0.4889,0.0,0,0,0,0,0,0,1,0,226.0,MET
2021-06-24,0.2643,0.3738,2,0.2643,0.0,1,0,0,0,0,1,0,0,133.0,MET
2021-06-29,-0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,147.0,MET
2021-06-30,0.1333,0.0471,2,0.1333,0.0,1,0,0,0,0,0,0,0,218.0,MET
2021-07-01,0.1417,0.1296,2,0.1417,0.0,2,1,0,0,0,0,0,0,265.0,MET
2021-07-02,0.1083,0.1532,2,0.1083,0.0,0,0,0,0,0,0,0,0,200.5,MET
2021-07-06,-0.4,,1,0.4,0.0,0,0,0,0,0,0,0,0,225.0,MET
2021-07-08,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,204.0,MET
2021-07-09,0.8,,1,0.8,0.0,0,0,0,0,0,0,0,0,178.0,MET
2021-07-13,0.0667,0.0943,2,0.0667,0.0,1,0,0,0,1,0,0,0,198.0,MET
2021-07-14,0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,208.0,MET
2021-07-15,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,230.0,MET
2021-07-16,0.2143,,1,0.2143,0.0,1,0,0,0,0,0,0,0,245.0,MET
2021-07-19,0.2,,1,0.2,0.0,0,0,0,0,1,0,0,0,291.0,MET
2021-07-20,0.1683,0.2379,2,0.1683,0.0,1,0,1,0,1,0,0,0,264.5,MET
2021-07-28,0.0155,0.0219,2,0.0155,0.0,2,0,0,0,1,0,0,0,198.0,MET
2021-08-01,0.2292,0.0412,2,0.2292,0.0,1,0,0,0,0,0,0,0,162.5,MET
2021-08-02,0.1167,0.0236,2,0.1167,0.0,2,1,0,0,0,0,0,0,237.5,MET
2021-08-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,230.0,MET
2021-08-05,0.2067,0.1947,3,0.2067,0.0,3,1,1,0,0,0,0,0,219.0,MET
2021-08-06,0.3415,0.3597,2,0.3415,0.0,1,0,1,0,0,1,0,0,252.5,MET
2021-08-10,0.2167,,1,0.2167,0.0,1,0,0,0,0,0,0,0,167.0,MET
2021-08-11,0.1833,,1,0.1833,0.0,0,0,0,0,0,0,0,0,160.0,MET
2021-08-12,0.4333,,1,0.4333,0.0,0,1,0,0,0,1,0,0,199.0,MET
2021-08-16,0.3366,0.1562,3,0.3366,0.0,0,0,0,0,0,2,0,0,175.0,MET
2021-08-17,0.2938,0.274,2,0.2938,0.0,1,0,0,0,0,1,0,0,240.5,MET
2021-08-20,0.2546,,1,0.2546,0.0,0,0,1,0,0,0,0,0,213.0,MET
2021-08-23,0.2438,,1,0.2438,0.0,1,0,0,0,0,0,0,0,316.0,MET
2021-08-24,0.2248,0.1224,3,0.2248,0.0,0,0,0,0,0,0,0,0,237.0,MET
2021-08-26,0.1917,,1,0.1917,0.0,0,0,0,0,0,0,0,0,202.0,MET
2021-08-27,0.2875,0.1237,2,0.2875,0.0,0,2,1,0,0,0,1,0,264.5,MET
2021-09-01,0.2206,0.1808,3,0.2206,0.0,2,0,0,0,0,0,0,0,196.0,MET
2021-09-02,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,208.0,MET
2021-09-03,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,192.0,MET
2021-09-07,0.1429,0.202,2,0.1429,0.0,0,1,0,0,0,0,0,0,200.5,MET
2021-09-08,0.3365,,1,0.3365,0.0,1,0,0,0,0,0,0,0,312.0,MET
2021-09-10,0.3341,,1,0.3341,0.0,0,0,0,0,0,0,0,0,140.0,MET
2021-09-13,0.3167,,1,0.3167,0.0,0,0,0,0,0,0,0,0,203.0,MET
2021-09-14,0.0955,,1,0.0955,0.0,1,0,0,1,0,0,0,0,241.0,MET
2021-09-15,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,211.0,MET
2021-09-16,0.0,0.0,2,0.0,0.0,0,0,0,0,1,0,0,0,191.0,MET
2021-09-17,0.2694,0.2148,3,0.2694,0.0,1,1,0,0,0,0,0,0,217.3333,MET
2021-09-21,0.1444,,1,0.1444,0.0,0,0,0,0,0,0,1,0,213.0,MET
2021-09-22,0.4667,,1,0.4667,0.0,0,1,0,0,0,1,0,0,219.0,MET
2021-09-24,0.1683,0.2379,2,0.1683,0.0,1,0,0,0,0,0,0,0,264.5,MET
2021-09-28,0.1023,0.0976,2,0.1023,0.0,0,0,0,0,0,0,0,0,226.5,MET
2021-10-04,0.1929,0.2057,3,0.1929,0.0,2,0,0,0,0,0,0,0,193.0,MET
2021-10-06,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,207.0,MET
2021-10-12,0.1837,,1,0.1837,0.0,1,0,0,0,0,0,0,0,248.0,MET
2021-10-15,0.1014,0.1429,3,0.1431,0.0,1,0,0,0,0,0,0,0,174.3333,MET
2021-10-19,0.2528,0.1608,3,0.2528,0.0,3,0,0,0,1,0,0,0,223.3333,MET
2021-10-21,-0.1833,,1,0.1833,0.0,0,0,0,0,0,1,0,0,204.0,MET
2021-10-22,0.0697,0.0986,2,0.0697,0.0,2,0,0,0,0,0,0,0,194.5,MET
2021-10-25,0.104,0.0928,3,0.104,0.0,3,0,0,0,0,0,0,0,262.6667,MET
2021-10-26,0.0121,,1,0.0121,0.0,1,0,0,0,0,0,0,0,288.0,MET
2021-10-27,0.1166,0.0758,4,0.1166,0.0,4,0,0,0,1,0,0,0,234.0,MET
2021-10-29,0.1583,,1,0.1583,0.0,1,0,0,0,0,0,0,0,255.0,MET
2021-10-31,0.1625,0.053,2,0.1625,0.0,0,0,0,0,0,0,0,0,222.0,MET
2021-11-01,0.1042,0.1473,2,0.1042,0.0,2,0,0,0,0,0,0,0,187.0,MET
2021-11-03,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,245.0,MET
2021-11-04,0.1458,0.1301,3,0.1458,0.0,3,0,0,0,0,0,0,0,172.0,MET
2021-11-05,0.01,,1,0.01,0.0,1,0,0,0,0,0,0,0,239.0,MET
2021-11-15,0.2036,,1,0.2036,0.0,0,0,0,0,0,0,0,0,145.0,MET
2021-11-29,0.2,,1,0.2,0.0,0,0,0,0,1,0,0,0,283.0,MET
2021-12-03,-0.0519,,1,0.0519,0.0,1,0,0,0,0,0,0,0,193.0,MET
2021-12-12,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,235.0,MET
2021-12-16,0.65,,1,0.65,0.0,0,0,0,0,0,1,0,0,192.0,MET
2021-12-22,0.1747,,1,0.1747,0.0,0,0,0,0,0,0,0,0,225.0,MET
2021-12-23,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,197.0,MET
2021-12-28,0.2031,,1,0.2031,0.0,0,0,0,0,0,0,0,0,171.0,MET
2021-12-29,0.3333,,1,0.3333,0.0,0,0,0,0,0,0,0,0,261.0,MET
2022-01-08,0.2111,,1,0.2111,0.0,0,0,0,0,0,1,0,0,164.0,MET
2022-01-10,-0.05,,1,0.05,0.0,0,0,0,0,0,0,0,0,259.0,MET
2022-01-11,0.0833,,1,0.0833,0.0,1,0,0,0,0,0,0,0,152.0,MET
2022-01-16,0.2273,,1,0.2273,0.0,0,0,0,0,0,0,0,0,176.0,MET
2022-01-24,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,216.0,MET
2022-01-26,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,256.0,MET
