date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-23,0.1235,0.0297,2,0.1235,0.0,2,0,0,0,0,0,0,0,186.5,MLM
2021-04-25,0.0536,,1,0.0536,0.0,0,1,1,0,0,0,0,0,203.0,MLM
2021-04-26,0.1014,0.0334,2,0.1014,0.0,1,0,0,0,0,0,0,0,200.0,MLM
2021-04-29,0.0972,0.0867,3,0.0972,0.0,3,0,1,0,0,0,0,0,258.3333,MLM
2021-04-30,0.125,,1,0.125,0.0,1,0,0,0,0,0,0,0,181.0,MLM
2021-05-03,0.1375,,1,0.1375,0.0,1,0,0,0,0,0,0,0,161.0,MLM
2021-05-04,0.2645,0.2219,4,0.2645,0.0,4,0,0,0,0,0,1,0,2700.25,MLM
2021-05-05,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,125.0,MLM
2021-05-06,0.0533,,1,0.0533,0.0,1,0,1,0,0,0,0,0,210.0,MLM
2021-05-10,0.0073,0.1706,2,0.1206,0.0,0,1,0,0,0,0,1,0,13562.5,MLM
2021-05-11,0.2378,,1,0.2378,0.0,0,1,0,0,0,0,0,0,196.0,MLM
2021-05-20,-0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,146.0,MLM
2021-05-24,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,159.0,MLM
2021-06-02,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,67.0,MLM
2021-06-03,0.0032,0.0779,2,0.0551,0.0,1,0,0,0,0,0,0,0,196.0,MLM
2021-06-07,-0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,143.0,MLM
2021-06-08,0.15,,1,0.15,0.0,0,1,0,0,0,0,0,0,147.0,MLM
2021-06-09,0.1467,,1,0.1467,0.0,0,0,0,0,0,0,0,0,193.0,MLM
2021-06-13,1.0,,1,1.0,0.0,0,0,1,0,0,0,0,0,144.0,MLM
2021-06-18,0.0778,,1,0.0778,0.0,0,0,0,0,0,0,0,0,180.0,MLM
2021-06-23,-0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,146.0,MLM
2021-06-25,0.1,,1,0.1,0.0,0,0,1,0,0,0,0,0,214.0,MLM
2021-06-27,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,176.0,MLM
2021-06-28,0.275,,1,0.275,0.0,0,0,0,0,0,0,0,0,296.0,MLM
2021-07-01,0.2889,,1,0.2889,0.0,0,1,0,0,0,0,0,0,260.0,MLM
2021-07-09,-0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,147.0,MLM
2021-07-13,0.1667,,1,0.1667,0.0,0,0,0,0,1,0,0,0,252.0,MLM
2021-07-14,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,292.0,MLM
2021-07-20,0.4286,,1,0.4286,0.0,0,0,0,0,0,0,0,0,106.0,MLM
2021-07-22,0.0571,,1,0.0571,0.0,1,0,0,0,0,0,0,0,255.0,MLM
2021-07-27,0.3333,,1,0.3333,0.0,1,0,0,0,0,0,0,0,258.0,MLM
2021-07-28,-0.0046,,1,0.0046,0.0,1,0,1,0,0,0,0,0,221.0,MLM
2021-07-29,0.1667,0.2887,3,0.1667,0.0,3,0,1,0,0,0,0,0,179.0,MLM
2021-08-02,0.05,,1,0.05,0.0,1,0,0,0,0,0,0,0,245.0,MLM
