date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-23,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,237.0,MMC
2021-04-26,0.2568,0.3632,2,0.2568,0.0,1,0,0,0,0,0,0,0,163.5,MMC
2021-04-27,0.1875,0.2394,4,0.1875,0.0,4,0,0,0,0,0,0,0,161.5,MMC
2021-04-29,0.4333,,1,0.4333,0.0,1,0,0,0,0,0,0,0,233.0,MMC
2021-05-03,-0.0833,,1,0.0833,0.0,1,0,0,0,0,0,0,1,247.0,MMC
2021-05-10,0.1279,,1,0.1279,0.0,0,1,0,0,0,0,1,0,26901.0,MMC
2021-05-13,0.1071,0.1515,2,0.1071,0.0,1,2,0,0,0,0,0,0,188.5,MMC
2021-05-15,0.1071,,1,0.1071,0.0,0,1,0,0,0,0,0,0,203.0,MMC
2021-05-18,0.0,0.0,2,0.0,0.0,0,2,0,0,0,0,0,0,171.5,MMC
2021-05-20,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,142.0,MMC
2021-05-23,-0.0625,,1,0.0625,0.0,1,0,1,0,0,0,0,0,206.0,MMC
2021-05-25,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,225.0,MMC
2021-05-26,0.075,,1,0.075,0.0,0,1,0,0,0,0,0,0,229.0,MMC
2021-05-27,0.0,0.0,2,0.0,0.0,1,0,0,0,0,0,0,0,209.5,MMC
2021-05-30,-0.0625,,1,0.0625,0.0,1,0,1,0,0,0,0,0,206.0,MMC
2021-05-31,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,156.0,MMC
2021-06-01,0.8,,1,0.8,0.0,1,0,0,0,0,0,0,0,211.0,MMC
2021-06-02,0.2498,,1,0.2498,0.0,0,0,0,0,0,0,0,0,224.0,MMC
2021-06-03,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,162.0,MMC
2021-06-13,1.0,,1,1.0,0.0,0,0,1,0,0,0,0,0,144.0,MMC
2021-06-14,0.6167,0.5421,2,0.6167,0.0,0,0,0,0,0,0,1,0,172.0,MMC
2021-06-16,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,149.0,MMC
2021-06-17,0.0,0.0,2,0.0,0.0,0,2,0,0,1,0,0,0,196.5,MMC
2021-06-28,0.2723,,1,0.2723,0.0,0,0,0,0,0,0,0,0,257.0,MMC
2021-06-30,0.0792,0.1709,2,0.1208,0.0,0,1,0,0,0,0,1,0,199.5,MMC
2021-07-01,0.25,,1,0.25,0.0,0,1,0,0,0,0,0,0,177.0,MMC
2021-07-02,0.0417,0.0589,2,0.0417,0.0,0,2,0,0,0,0,0,0,180.5,MMC
2021-07-05,-0.3,,1,0.3,0.0,0,0,0,0,0,1,0,0,235.0,MMC
2021-07-13,0.1333,,1,0.1333,0.0,1,0,0,0,1,0,0,0,226.0,MMC
2021-07-15,0.0571,,1,0.0571,0.0,1,0,0,0,0,0,0,0,251.0,MMC
2021-07-19,0.1667,,1,0.1667,0.0,1,0,1,0,0,0,0,0,241.0,MMC
2021-07-21,0.2273,,1,0.2273,0.0,1,0,0,0,0,0,0,0,210.0,MMC
2021-07-22,0.1667,0.2887,3,0.1667,0.0,3,0,0,0,0,0,0,0,187.0,MMC
2021-07-25,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,221.0,MMC
2021-07-26,0.4523,0.2718,2,0.4523,0.0,1,0,0,0,0,0,0,0,241.5,MMC
2021-07-27,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,191.0,MMC
2021-07-30,0.1143,,1,0.1143,0.0,1,0,0,0,0,0,0,0,235.0,MMC
2021-08-03,0.4375,,1,0.4375,0.0,1,0,0,0,0,1,0,0,192.0,MMC
2021-08-08,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,222.0,MMC
2021-08-12,0.1607,,1,0.1607,0.0,1,0,1,0,0,0,0,0,168.0,MMC
2021-08-13,0.0533,,1,0.0533,0.0,0,0,1,0,0,0,0,0,204.0,MMC
2021-08-16,0.366,0.1895,2,0.366,0.0,0,1,1,0,0,0,0,0,186.0,MMC
2021-08-18,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,231.0,MMC
2021-08-19,0.1125,,1,0.1125,0.0,0,0,0,0,0,0,0,0,237.0,MMC
2021-08-20,0.2546,,1,0.2546,0.0,0,0,1,0,0,0,0,0,213.0,MMC
2021-08-24,0.5167,,1,0.5167,0.0,0,0,0,0,0,0,0,0,165.0,MMC
2021-08-27,-0.0889,,1,0.0889,0.0,0,0,1,0,1,0,0,0,233.0,MMC
2021-08-30,0.316,0.2602,2,0.316,0.0,0,1,0,0,1,0,0,0,212.5,MMC
2021-09-03,0.1556,0.22,2,0.1556,0.0,0,2,0,0,0,0,0,0,166.5,MMC
2021-09-09,0.8,,1,0.8,0.0,0,0,0,0,0,0,0,0,180.0,MMC
2021-09-13,0.32,,1,0.32,0.0,0,0,0,0,0,0,0,0,206.0,MMC
2021-09-14,0.3,,1,0.3,0.0,0,1,0,0,0,0,0,0,175.0,MMC
2021-09-16,0.2733,0.2734,2,0.2733,0.0,0,2,0,0,1,0,0,0,228.0,MMC
2021-09-20,-0.05,,1,0.05,0.0,0,0,1,0,0,0,0,0,150.0,MMC
2021-09-21,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,163.0,MMC
2021-09-22,0.1591,0.225,2,0.1591,0.0,0,2,0,0,0,0,0,0,177.0,MMC
2021-09-23,0.1667,,1,0.1667,0.0,0,0,0,0,0,0,0,0,167.0,MMC
2021-09-24,0.125,,1,0.125,0.0,0,0,0,0,1,0,0,0,199.0,MMC
2021-09-27,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,192.0,MMC
2021-09-28,0.0333,,1,0.0333,0.0,0,0,0,0,0,0,0,0,238.0,MMC
2021-10-01,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,188.0,MMC
2021-10-03,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,250.0,MMC
2021-10-04,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,179.0,MMC
2021-10-06,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,181.0,MMC
2021-10-13,0.2222,,1,0.2222,0.0,0,0,0,0,0,0,0,0,172.0,MMC
2021-10-14,0.0371,,1,0.0371,0.0,1,1,0,0,0,0,0,0,245.0,MMC
2021-10-15,0.3167,0.2121,2,0.3167,0.0,1,1,0,0,0,0,0,0,197.0,MMC
2021-10-18,-0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,246.0,MMC
2021-10-20,0.0673,,1,0.0673,0.0,1,0,0,0,0,0,0,0,238.0,MMC
2021-10-21,0.1083,0.1532,2,0.1083,0.0,2,0,0,0,0,0,0,0,172.5,MMC
2021-10-25,0.1338,,1,0.1338,0.0,1,0,0,0,0,0,0,0,291.0,MMC
2021-10-28,0.4375,,1,0.4375,0.0,1,0,0,0,0,0,0,0,199.0,MMC
