date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-29,0.375,,1,0.375,0.0,1,0,0,0,0,0,0,0,191.0,MOH
2021-05-01,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,117.0,MOH
2021-05-07,0.0625,,1,0.0625,0.0,1,0,0,0,0,0,0,0,243.0,MOH
2021-05-10,0.0884,0.0559,2,0.0884,0.0,0,1,0,0,0,0,1,0,13566.5,MOH
2021-05-11,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,250.0,MOH
2021-05-12,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,166.0,MOH
2021-05-13,0.2857,,1,0.2857,0.0,0,0,0,0,0,0,0,0,181.0,MOH
2021-05-14,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,234.0,MOH
2021-05-26,0.08,,1,0.08,0.0,0,0,0,0,0,0,0,0,192.0,MOH
2021-05-27,0.1028,,1,0.1028,0.0,0,1,0,0,0,0,0,0,182.0,MOH
2021-05-28,0.0513,0.1459,2,0.1032,0.0,1,0,0,1,0,0,0,0,206.5,MOH
2021-06-18,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,1,191.0,MOH
2021-06-22,0.2,0.0,2,0.2,0.0,0,1,0,0,0,0,0,0,191.0,MOH
2021-06-24,-0.0729,0.1797,2,0.1271,0.0,0,1,0,1,0,0,0,0,210.0,MOH
2021-06-28,-0.0133,0.1933,2,0.1367,0.0,2,1,0,0,0,0,0,0,225.0,MOH
2021-07-01,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,248.0,MOH
2021-07-06,0.0982,0.1389,2,0.0982,0.0,0,0,0,0,0,0,0,0,206.0,MOH
2021-07-08,0.5,,1,0.5,0.0,1,0,0,0,0,0,0,0,196.0,MOH
2021-07-12,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,205.0,MOH
2021-07-13,0.1483,,1,0.1483,0.0,1,0,0,0,0,0,0,0,195.0,MOH
2021-07-15,0.125,0.1768,2,0.125,0.0,1,0,1,0,0,0,0,0,202.0,MOH
2021-07-16,0.0833,,1,0.0833,0.0,1,0,1,0,0,0,0,0,239.0,MOH
2021-07-21,0.2686,0.3273,2,0.2686,0.0,2,1,0,0,0,0,0,0,195.5,MOH
2021-07-22,-0.125,,1,0.125,0.0,1,0,0,0,0,0,0,0,225.0,MOH
2021-07-23,0.04,,1,0.04,0.0,1,0,1,0,0,0,0,0,222.0,MOH
2021-07-28,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,222.0,MOH
2021-07-29,0.125,0.1768,2,0.125,0.0,2,0,0,0,0,0,0,0,162.5,MOH
2021-08-13,0.25,,1,0.25,0.0,0,0,0,0,0,1,0,0,193.0,MOH
2021-08-17,0.4333,,1,0.4333,0.0,1,0,0,0,0,0,0,0,217.0,MOH
2021-08-18,0.1444,0.3405,3,0.2111,0.0,0,0,0,0,0,0,0,0,183.3333,MOH
2021-08-19,0.3333,0.0943,2,0.3333,0.0,0,0,0,0,0,0,0,0,210.5,MOH
2021-08-23,0.4667,,1,0.4667,0.0,0,1,0,0,0,0,0,0,232.0,MOH
2021-08-25,0.4,,1,0.4,0.0,0,0,0,0,0,0,0,0,256.0,MOH
2021-08-26,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,213.0,MOH
2021-08-27,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,190.0,MOH
2021-08-30,0.0533,,1,0.0533,0.0,1,0,0,0,0,0,0,0,195.0,MOH
2021-09-01,0.5,,1,0.5,0.0,1,0,0,0,0,0,0,0,255.0,MOH
2021-09-02,0.22,,1,0.22,0.0,1,0,0,0,0,0,0,0,224.0,MOH
2021-09-09,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,179.0,MOH
2021-09-15,0.08,,1,0.08,0.0,0,0,0,0,0,0,0,0,184.0,MOH
2021-09-24,0.25,0.3536,2,0.25,0.0,0,1,0,0,0,0,0,0,220.0,MOH
2021-09-28,0.0333,,1,0.0333,0.0,0,0,0,0,0,0,0,0,238.0,MOH
2021-10-04,0.0533,,1,0.0533,0.0,0,0,0,0,0,0,0,0,199.0,MOH
2021-10-06,0.3833,,1,0.3833,0.0,0,0,0,0,0,0,0,0,189.0,MOH
2021-10-08,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,107.0,MOH
2021-10-12,0.1002,,1,0.1002,0.0,0,1,0,0,0,0,0,0,189.0,MOH
2021-10-13,0.2025,0.0035,2,0.2025,0.0,1,0,0,0,0,0,0,1,238.5,MOH
2021-10-14,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,167.0,MOH
2021-10-20,0.0363,0.0513,2,0.0363,0.0,1,0,0,0,0,0,0,0,167.0,MOH
2021-10-21,0.0771,,1,0.0771,0.0,1,0,0,0,0,0,0,0,257.0,MOH
2021-10-22,0.2083,0.0722,3,0.2083,0.0,2,0,1,0,0,0,0,0,143.6667,MOH
2021-10-27,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,239.0,MOH
2021-10-28,0.5,,1,0.5,0.0,1,0,0,0,0,0,0,0,155.0,MOH
2021-10-29,0.1486,0.1479,3,0.1486,0.0,2,0,0,0,0,0,0,0,145.3333,MOH
2021-11-05,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,98.0,MOH
2021-11-11,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,218.0,MOH
2021-11-12,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,100.0,MOH
2021-11-17,0.1125,0.0177,2,0.1125,0.0,0,0,1,0,0,0,0,0,189.0,MOH
2021-11-25,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,259.0,MOH
2021-12-01,-0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,232.0,MOH
2021-12-08,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,107.0,MOH
2021-12-10,0.566,0.6138,2,0.566,0.0,0,0,0,0,0,0,0,0,187.0,MOH
2021-12-21,0.3333,,1,0.3333,0.0,0,0,0,0,1,0,0,0,294.0,MOH
2021-12-23,0.075,0.2046,3,0.175,0.0,1,1,1,0,0,0,0,0,173.6667,MOH
2021-12-27,0.3583,,1,0.3583,0.0,1,0,0,0,0,0,0,0,198.0,MOH
2021-12-28,0.1667,0.2282,4,0.1667,0.0,2,2,0,0,0,0,0,0,158.75,MOH
2021-12-29,0.0,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,138.5,MOH
2021-12-31,0.1195,0.1228,4,0.1195,0.0,1,0,0,0,0,1,0,0,200.5,MOH
2022-01-04,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,176.0,MOH
2022-01-06,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,98.0,MOH
2022-01-07,-0.0042,0.0059,2,0.0042,0.0,1,0,0,0,0,0,0,0,212.5,MOH
2022-01-11,0.205,0.0636,2,0.205,0.0,0,1,0,0,0,0,0,0,185.5,MOH
2022-01-12,0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,178.0,MOH
2022-01-13,0.1583,0.0826,2,0.1583,0.0,0,0,0,0,1,0,0,0,242.5,MOH
2022-01-17,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,100.0,MOH
2022-01-18,0.0833,,1,0.0833,0.0,1,0,0,0,0,0,0,0,176.0,MOH
2022-01-21,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,174.0,MOH
2022-01-26,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,226.0,MOH
2022-02-02,0.0092,0.0307,2,0.0217,0.0,1,0,0,0,1,0,0,0,249.0,MOH
2022-02-07,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,107.0,MOH
2022-02-09,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,237.0,MOH
2022-02-10,0.3417,,1,0.3417,0.0,1,0,0,0,0,0,0,0,214.0,MOH
2022-02-15,0.5244,0.2329,5,0.5244,0.0,3,0,0,0,1,0,0,0,170.6,MOH
2022-02-16,0.2894,0.2074,6,0.2922,0.0,4,0,1,0,2,1,0,0,190.5,MOH
2022-02-17,0.1667,0.2887,3,0.1667,0.0,2,0,0,0,1,0,0,0,149.3333,MOH
2022-02-18,0.3507,0.2936,5,0.3507,0.0,3,0,0,0,1,0,0,0,194.6,MOH
2022-02-21,0.2167,0.3064,2,0.2167,0.0,2,0,0,0,0,0,0,0,165.5,MOH
2022-02-22,0.02,0.0346,3,0.02,0.0,1,1,0,0,0,0,0,0,336.0,MOH
