date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-22,0.15,,1,0.15,0.0,0,0,0,0,0,0,0,0,198.0,NCLH
2021-04-23,0.7,,1,0.7,0.0,0,0,0,0,0,0,0,0,97.0,NCLH
2021-04-26,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,111.0,NCLH
2021-04-28,0.1667,,1,0.1667,0.0,0,0,0,0,1,0,0,0,138.0,NCLH
2021-04-29,0.0967,0.1138,5,0.0967,0.0,4,0,0,0,0,0,0,0,228.6,NCLH
2021-04-30,-0.0264,,1,0.0264,0.0,0,0,0,0,0,0,0,0,257.0,NCLH
2021-05-04,0.0,0.0,2,0.0,0.0,1,0,0,0,0,1,0,0,199.5,NCLH
2021-05-06,0.1579,0.243,5,0.189,0.0,4,0,0,0,0,0,0,0,279.0,NCLH
2021-05-07,0.1,0.1414,2,0.1,0.0,1,0,0,0,0,0,0,0,155.0,NCLH
2021-05-10,0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,157.0,NCLH
2021-05-12,0.25,0.3536,2,0.25,0.0,0,0,0,0,0,0,0,0,134.5,NCLH
2021-05-14,0.08,,1,0.08,0.0,0,0,0,0,0,0,0,0,161.0,NCLH
2021-05-16,0.1619,,1,0.1619,0.0,0,0,0,0,0,0,0,0,287.0,NCLH
2021-05-17,0.2167,,1,0.2167,0.0,0,0,0,0,0,0,0,0,201.0,NCLH
2021-05-18,0.0375,0.053,2,0.0375,0.0,0,0,0,0,0,0,0,0,237.5,NCLH
2021-05-19,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,91.0,NCLH
2021-05-21,0.1009,,1,0.1009,0.2,0,1,0,0,0,0,0,0,956.0,NCLH
2021-05-24,0.0498,0.0612,3,0.0498,0.0,0,0,0,0,0,0,0,0,143.0,NCLH
2021-05-25,0.0573,0.0758,4,0.0573,0.0,0,0,1,0,0,1,0,0,310.0,NCLH
2021-05-26,-0.0594,,1,0.0594,0.0,0,0,0,0,0,0,0,0,152.0,NCLH
2021-05-27,0.2766,0.105,3,0.2766,0.0,1,1,0,0,0,0,0,0,150.6667,NCLH
2021-05-28,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,140.0,NCLH
2021-06-01,0.1231,0.0638,2,0.1231,0.0,0,0,0,0,0,1,0,0,414.0,NCLH
2021-06-02,0.0625,,1,0.0625,0.0,0,0,0,0,0,0,0,0,145.0,NCLH
2021-06-03,0.12,,1,0.12,0.0,0,0,0,0,0,0,0,0,169.0,NCLH
2021-06-04,0.0673,,1,0.0673,0.0,0,0,0,0,0,0,0,0,264.0,NCLH
2021-06-07,0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,247.0,NCLH
2021-06-08,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,196.0,NCLH
2021-06-11,0.019,,1,0.019,0.0,0,0,0,0,0,0,0,0,202.0,NCLH
2021-06-16,0.0457,0.0282,3,0.0457,0.0,0,2,1,0,0,0,0,0,1364.3333,NCLH
2021-06-17,0.0379,0.0536,2,0.0379,0.0,0,0,0,0,0,0,0,0,206.0,NCLH
2021-06-19,0.2278,,1,0.2278,0.0,0,0,0,0,0,0,0,0,240.0,NCLH
2021-06-22,0.45,,1,0.45,0.0,0,0,0,0,0,0,0,0,194.0,NCLH
2021-06-25,-0.013,0.0594,3,0.0389,0.0,0,0,1,0,0,0,0,0,178.6667,NCLH
2021-06-28,0.1113,0.1225,4,0.1113,0.0,0,0,0,0,0,0,0,0,153.5,NCLH
2021-06-29,-0.0688,0.0972,2,0.0688,0.0,1,0,1,0,0,0,0,0,161.5,NCLH
2021-07-01,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,93.0,NCLH
2021-07-05,0.0119,,1,0.0119,0.0,0,0,0,0,0,0,0,0,80.0,NCLH
2021-07-08,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,146.0,NCLH
