date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-22,0.5,,1,0.5,0.0,0,0,0,0,0,1,0,0,186.0,OKE
2021-04-23,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,224.0,OKE
2021-04-27,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,226.0,OKE
2021-04-28,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,117.0,OKE
2021-05-04,0.75,,1,0.75,0.0,0,0,0,0,0,1,0,0,235.0,OKE
2021-05-07,0.3806,,1,0.3806,0.0,0,0,0,0,0,1,0,0,206.0,OKE
2021-05-10,0.1279,,1,0.1279,0.0,0,1,0,0,0,0,1,0,26901.0,OKE
2021-05-13,0.1364,,1,0.1364,0.0,0,0,0,0,0,0,0,0,204.0,OKE
2021-05-17,0.5,,1,0.5,0.2,0,1,0,0,0,0,0,0,208.0,OKE
2021-05-26,0.0306,,1,0.0306,0.0,0,1,1,0,0,0,0,0,3995.0,OKE
2021-05-27,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,178.0,OKE
2021-05-28,0.0833,,1,0.0833,0.0,1,0,0,0,0,0,0,0,181.0,OKE
2021-05-29,0.5,,1,0.5,0.0,0,0,0,0,0,1,0,0,189.0,OKE
2021-05-30,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,125.0,OKE
2021-06-01,0.2694,,1,0.2694,0.0,0,0,0,0,0,1,0,0,167.0,OKE
2021-06-08,0.0583,,1,0.0583,0.0,0,0,0,0,0,0,0,0,179.0,OKE
2021-06-10,0.1905,,1,0.1905,0.0,0,1,1,0,0,0,0,0,151.0,OKE
2021-06-28,0.3393,0.1263,2,0.3393,0.0,0,1,0,0,0,1,0,0,152.5,OKE
2021-07-09,0.125,,1,0.125,0.0,1,0,0,0,0,0,0,0,174.0,OKE
2021-07-13,0.5,,1,0.5,0.0,0,1,0,0,0,1,0,0,118.0,OKE
2021-07-20,0.3867,,1,0.3867,0.0,0,0,0,0,0,1,0,0,184.0,OKE
2021-07-22,-0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,117.0,OKE
2021-07-25,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,221.0,OKE
2021-07-27,0.1468,0.2905,4,0.2385,0.0,3,1,1,0,0,0,0,0,214.25,OKE
2021-07-28,0.1333,,1,0.1333,0.0,0,0,0,0,0,0,0,0,167.0,OKE
2021-07-29,-0.0409,,1,0.0409,0.0,1,0,0,0,0,0,1,0,242.0,OKE
2021-08-02,0.5136,,1,0.5136,0.0,1,0,0,0,0,0,0,0,187.0,OKE
2021-08-03,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,231.0,OKE
