date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-07-07,0.33,,1,0.33,0.0,0,0,0,0,0,0,0,0,100.0,PFG
2020-08-04,0.1482,,1,0.1482,0.0,0,0,0,0,0,0,0,0,90.0,PFG
2021-04-25,0.0536,,1,0.0536,0.0,0,1,1,0,0,0,0,0,203.0,PFG
2021-04-27,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,252.0,PFG
2021-04-28,0.1183,0.1673,2,0.1183,0.0,2,0,0,0,0,0,1,0,164.0,PFG
2021-05-10,0.1279,,1,0.1279,0.0,0,1,0,0,0,0,1,0,26901.0,PFG
2021-05-27,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,206.0,PFG
2021-06-02,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,161.0,PFG
2021-06-07,0.3813,,1,0.3813,0.0,0,0,0,0,0,1,0,0,248.0,PFG
2021-06-08,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,108.0,PFG
2021-06-13,1.0,,1,1.0,0.0,0,0,1,0,0,0,0,0,144.0,PFG
2021-06-15,0.1981,0.1865,2,0.1981,0.0,0,1,0,0,0,0,1,0,4092.0,PFG
2021-06-23,0.3972,,1,0.3972,0.0,0,0,0,0,0,1,0,0,246.0,PFG
2021-06-24,0.0417,0.0589,2,0.0417,0.0,1,0,0,0,0,1,1,0,170.0,PFG
2021-06-29,-0.0375,0.0884,2,0.0625,0.0,0,0,0,0,0,0,1,0,217.5,PFG
2021-07-06,-0.4,,1,0.4,0.0,0,0,0,0,0,0,0,0,225.0,PFG
2021-07-09,0.3972,,1,0.3972,0.0,0,0,0,0,0,1,0,0,246.0,PFG
2021-07-12,0.1971,,1,0.1971,0.0,0,0,0,0,0,0,0,0,192.0,PFG
2021-07-15,0.0,,1,0.0,0.0,1,0,1,0,0,0,0,0,160.0,PFG
2021-07-20,0.0949,0.1014,2,0.0949,0.0,2,0,1,0,1,0,0,0,218.0,PFG
2021-07-22,0.05,0.0707,2,0.05,0.0,2,0,2,0,0,0,1,0,273.5,PFG
2021-07-26,0.3813,,1,0.3813,0.0,0,0,0,0,0,1,0,0,248.0,PFG
2021-07-27,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,250.0,PFG
2021-07-28,0.075,0.1061,2,0.075,0.0,2,0,0,0,0,0,1,0,159.0,PFG
2021-07-30,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,112.0,PFG
2021-08-11,0.3972,,1,0.3972,0.0,0,0,0,0,0,1,0,0,282.0,PFG
2021-08-18,0.4286,,1,0.4286,0.0,0,0,0,0,0,0,0,0,110.0,PFG
2021-08-26,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,216.0,PFG
2021-08-27,0.3472,,1,0.3472,0.0,0,0,0,0,0,1,0,0,255.0,PFG
2021-08-29,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,223.0,PFG
2021-08-31,-0.09,,1,0.09,0.0,1,1,0,0,0,0,0,0,261.0,PFG
