date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-23,0.0583,,1,0.0583,0.0,1,0,0,0,0,0,0,0,213.0,PGR
2021-04-27,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,191.0,PGR
2021-04-28,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,111.0,PGR
2021-04-29,0.0625,0.0884,2,0.0625,0.0,2,0,0,0,0,0,0,0,166.5,PGR
2021-04-30,0.1128,,1,0.1128,0.0,0,0,0,0,0,0,0,0,4929.0,PGR
2021-05-01,0.35,,1,0.35,0.0,0,0,0,0,0,0,0,0,174.0,PGR
2021-05-02,0.0588,0.1715,2,0.1212,0.0,2,1,1,0,0,0,0,0,837.5,PGR
2021-05-05,0.046,0.065,2,0.046,0.0,1,0,0,0,0,0,0,0,4947.5,PGR
2021-05-10,0.1279,,1,0.1279,0.0,0,1,0,0,0,0,1,0,26901.0,PGR
2021-05-11,0.45,,1,0.45,0.0,0,1,0,0,0,0,0,0,92.0,PGR
2021-05-15,0.1567,,1,0.1567,0.0,0,1,0,0,0,0,0,0,156.0,PGR
2021-05-18,0.8,,1,0.8,0.0,0,0,0,0,0,0,0,0,177.0,PGR
2021-05-19,0.0489,0.0545,2,0.0489,0.0,1,0,0,0,0,0,0,0,997.5,PGR
2021-05-20,0.045,0.0247,2,0.045,0.0,2,0,0,0,0,0,0,0,402.0,PGR
2021-05-27,0.0533,,1,0.0533,0.0,0,0,0,0,0,0,0,0,148.0,PGR
2021-05-29,0.075,,1,0.075,0.0,1,0,0,0,0,0,0,0,198.0,PGR
2021-06-02,0.025,,1,0.025,0.0,0,1,0,0,0,0,0,0,215.0,PGR
2021-06-04,0.2833,,1,0.2833,0.0,0,0,0,0,0,0,0,0,232.0,PGR
2021-06-07,0.0166,0.0234,2,0.0166,0.0,0,1,1,0,0,0,0,0,1961.5,PGR
