date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-04-29,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,98.0,RCL
2020-05-02,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,80.0,RCL
2020-05-20,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,114.0,RCL
2020-06-01,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,108.0,RCL
2020-06-12,0.05,,1,0.05,0.0,0,0,0,0,0,0,0,0,96.0,RCL
2020-06-15,-0.0778,,1,0.0778,0.0,1,0,0,0,0,0,0,0,114.0,RCL
2020-06-23,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,120.0,RCL
2020-07-09,0.0988,,1,0.0988,0.0,0,0,0,0,0,0,0,0,88.0,RCL
2020-09-09,-0.1556,,1,0.1556,0.0,0,0,0,0,0,0,0,0,98.0,RCL
2020-09-22,0.1364,,1,0.1364,0.0,0,0,0,0,0,0,0,0,116.0,RCL
2020-10-08,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,102.0,RCL
2020-10-27,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,98.0,RCL
2020-11-10,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,120.0,RCL
2021-04-23,0.7,,1,0.7,0.0,0,0,0,0,0,0,0,0,97.0,RCL
2021-04-26,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,111.0,RCL
2021-04-27,0.0759,,1,0.0759,0.0,1,0,0,0,0,0,0,0,222.0,RCL
2021-04-29,0.0646,0.0973,8,0.0646,0.0,7,0,0,0,1,0,0,0,1525.75,RCL
2021-04-30,-0.0264,,1,0.0264,0.0,0,0,0,0,0,0,0,0,257.0,RCL
2021-05-02,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,111.0,RCL
2021-05-03,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,129.0,RCL
2021-05-04,0.06,0.0849,2,0.06,0.0,0,0,0,0,0,1,0,0,366.5,RCL
2021-05-06,0.0831,0.1558,3,0.135,0.0,2,0,0,0,0,0,0,0,151.0,RCL
2021-05-12,0.25,0.3536,2,0.25,0.0,0,0,0,0,0,0,0,0,134.5,RCL
2021-05-14,0.08,,1,0.08,0.0,0,0,0,0,0,0,0,0,161.0,RCL
2021-05-16,0.1619,,1,0.1619,0.0,0,0,0,0,0,0,0,0,287.0,RCL
2021-05-17,0.2167,,1,0.2167,0.0,0,0,0,0,0,0,0,0,201.0,RCL
2021-05-18,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,181.0,RCL
2021-05-19,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,91.0,RCL
2021-05-20,0.06,,1,0.06,0.0,0,0,0,0,0,0,0,0,189.0,RCL
2021-05-24,0.272,0.2175,2,0.272,0.0,0,0,0,0,0,0,0,0,152.0,RCL
2021-05-25,0.0231,0.04,3,0.0231,0.0,0,0,0,0,0,0,0,0,317.3333,RCL
2021-05-26,-0.0594,,1,0.0594,0.0,0,0,0,0,0,0,0,0,152.0,RCL
2021-05-27,0.2188,0.0442,2,0.2188,0.0,0,0,0,0,0,0,0,0,185.5,RCL
2021-05-28,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,140.0,RCL
2021-06-01,0.1078,0.0853,2,0.1078,0.0,0,0,0,0,0,1,0,0,409.5,RCL
2021-06-02,0.0625,,1,0.0625,0.0,0,0,0,0,0,0,0,0,145.0,RCL
2021-06-04,0.0673,,1,0.0673,0.0,0,0,0,0,0,0,0,0,264.0,RCL
2021-06-07,0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,247.0,RCL
2021-06-08,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,196.0,RCL
2021-06-11,0.0568,0.0804,2,0.0568,0.0,0,0,0,0,0,0,0,0,119.5,RCL
2021-06-14,0.006,0.0084,2,0.006,0.0,0,0,0,0,0,0,0,0,79.0,RCL
2021-06-16,0.0457,0.0282,3,0.0457,0.0,0,2,1,0,0,0,0,0,1364.3333,RCL
2021-06-17,0.0237,0.0452,3,0.0268,0.0,0,0,0,0,0,0,0,0,357.0,RCL
2021-06-19,0.2278,,1,0.2278,0.0,0,0,0,0,0,0,0,0,240.0,RCL
2021-06-21,0.0119,,1,0.0119,0.0,0,0,0,0,0,0,0,0,80.0,RCL
2021-06-22,0.0,,1,0.0,0.0,1,0,1,0,0,0,0,0,176.0,RCL
2021-06-25,-0.0389,0.055,2,0.0389,0.0,0,0,1,0,0,0,0,0,166.5,RCL
2021-06-28,0.089,0.1172,5,0.089,0.0,0,0,0,0,0,0,0,0,168.0,RCL
2021-06-29,-0.0688,0.0972,2,0.0688,0.0,1,0,1,0,0,0,0,0,161.5,RCL
2021-07-11,0.1253,0.1057,2,0.1253,0.0,0,0,1,0,0,0,0,0,772.5,RCL
2021-07-12,0.15,,1,0.15,0.0,0,0,0,0,0,0,0,0,184.0,RCL
2021-07-13,-0.15,0.2121,2,0.15,0.0,0,0,0,0,0,0,0,0,89.5,RCL
2021-07-15,0.1167,0.5421,2,0.3833,0.0,0,0,0,0,0,0,0,0,173.5,RCL
2021-07-16,0.0656,0.0575,2,0.0656,0.0,0,0,0,0,0,0,0,1,356.0,RCL
2021-07-19,-0.0093,0.1493,6,0.0907,0.0667,0,0,0,0,0,0,0,1,525.1667,RCL
2021-07-20,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,160.0,RCL
2021-07-21,0.0472,0.0668,2,0.0472,0.0,0,0,0,0,0,0,0,0,210.5,RCL
2021-07-25,0.1,0.1414,2,0.1,0.0,1,0,0,0,0,0,0,0,159.0,RCL
2021-07-28,0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,262.0,RCL
2021-07-30,0.0071,0.0083,3,0.0071,0.0,1,0,0,0,0,0,0,0,408.3333,RCL
2021-08-02,0.5,,1,0.5,0.0,1,0,0,0,0,0,0,0,101.0,RCL
2021-08-03,-0.1044,0.079,3,0.1044,0.0,2,0,2,0,0,0,0,0,203.6667,RCL
2021-08-04,-0.1448,0.1232,4,0.1448,0.0,3,0,3,0,1,0,0,0,268.0,RCL
2021-08-05,-0.0061,0.0105,3,0.0061,0.0,1,0,0,0,0,0,0,0,117.6667,RCL
2021-08-06,0.1969,0.1458,2,0.1969,0.0,1,0,1,0,0,0,0,0,127.5,RCL
2021-08-09,-0.0037,0.0831,2,0.0588,0.0,0,0,0,0,0,0,0,1,178.0,RCL
2021-08-12,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,70.0,RCL
2021-08-20,0.2333,,1,0.2333,0.0,0,0,0,0,0,0,0,0,183.0,RCL
2021-08-21,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,185.0,RCL
2021-08-24,0.24,,1,0.24,0.0,0,1,0,0,0,0,0,0,323.0,RCL
2021-08-25,0.375,,1,0.375,0.0,0,0,0,0,0,0,0,0,151.0,RCL
2021-08-26,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,139.0,RCL
2021-08-28,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,214.0,RCL
2021-09-03,-0.1812,0.2563,2,0.1812,0.0,1,0,0,0,0,0,0,0,167.5,RCL
2021-09-14,0.0591,,1,0.0591,0.0,0,0,0,0,0,0,0,0,647.0,RCL
2021-09-17,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,102.0,RCL
2021-09-23,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,199.0,RCL
2021-09-24,0.15,,1,0.15,0.0,0,0,0,0,0,0,0,0,123.0,RCL
2021-09-27,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,93.0,RCL
2021-10-01,0.3282,0.1015,2,0.3282,0.0,0,0,1,0,0,0,0,0,121.0,RCL
2021-10-04,0.0625,0.0884,2,0.0625,0.0,0,0,0,0,0,0,0,0,168.0,RCL
2021-10-05,0.0086,,1,0.0086,0.0,0,1,1,0,0,0,0,0,891.0,RCL
2021-10-11,0.0682,,1,0.0682,0.0,0,0,0,0,0,0,0,0,178.0,RCL
2021-10-13,0.1444,,1,0.1444,0.0,0,0,0,0,0,0,0,0,201.0,RCL
2021-10-15,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,50.0,RCL
2021-10-25,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,192.0,RCL
