date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-29,0.3333,,1,0.3333,0.0,1,0,0,0,0,0,0,0,220.0,REG
2021-04-30,-0.15,,1,0.15,0.0,1,0,0,0,0,0,0,0,233.0,REG
2021-05-04,0.5,,1,0.5,0.0,1,0,0,0,0,0,0,0,214.0,REG
2021-05-05,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,225.0,REG
2021-05-06,-0.0074,0.0231,3,0.0148,0.0,3,1,0,0,0,0,2,1,5624.3333,REG
2021-05-07,0.5,,1,0.5,0.0,1,0,0,0,0,0,0,0,256.0,REG
2021-05-08,-0.0083,0.0118,2,0.0083,0.0,2,0,0,0,0,1,0,0,163.5,REG
2021-05-10,0.1279,,1,0.1279,0.0,0,1,0,0,0,0,1,0,26901.0,REG
2021-05-11,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,246.0,REG
2021-05-12,0.2194,0.0039,2,0.2194,0.0,0,0,0,0,0,1,0,0,230.0,REG
2021-05-29,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,206.0,REG
2021-06-01,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,220.0,REG
2021-06-03,0.1127,,1,0.1127,0.0,0,0,0,0,0,0,0,0,3211.0,REG
2021-06-04,0.0419,,1,0.0419,0.0,0,1,1,0,0,0,0,0,3876.0,REG
2021-06-05,0.1417,,1,0.1417,0.0,0,0,1,0,0,0,0,0,211.0,REG
2021-06-12,-0.1167,,1,0.1167,0.0,0,0,0,0,0,0,0,0,222.0,REG
2021-06-14,-0.455,,1,0.455,0.0,0,0,0,0,0,0,0,0,159.0,REG
2021-06-16,-0.1167,,1,0.1167,0.0,0,1,1,0,0,0,0,0,220.0,REG
2021-06-19,-1.0,,1,1.0,0.0,0,0,0,0,0,0,0,0,170.0,REG
2021-06-22,-0.1556,,1,0.1556,0.0,0,0,0,0,0,1,0,0,227.0,REG
2021-06-24,0.3213,,1,0.3213,0.0,0,1,0,0,0,0,0,0,203.0,REG
2021-06-26,-0.1125,,1,0.1125,0.0,0,0,0,0,0,1,0,0,211.0,REG
2021-07-08,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,242.0,REG
2021-08-02,0.2389,,1,0.2389,0.0,0,1,0,0,0,0,0,0,191.0,REG
2021-08-03,0.0,0.0,2,0.0,0.0,1,1,0,0,0,1,0,0,257.0,REG
2021-08-04,0.0608,0.0511,4,0.0608,0.0,3,0,1,0,0,0,0,0,206.5,REG
2021-08-05,0.125,0.1768,2,0.125,0.0,2,0,0,0,0,0,0,0,220.0,REG
2021-08-06,0.25,0.3536,2,0.25,0.0,2,0,0,0,0,0,0,0,187.0,REG
2021-08-16,0.4333,,1,0.4333,0.0,0,1,0,0,0,0,0,0,305.0,REG
2021-08-18,0.1429,,1,0.1429,0.0,0,0,0,0,0,0,0,0,249.0,REG
2021-09-13,0.0452,0.0168,2,0.0452,0.0,0,2,0,0,0,0,0,0,208.5,REG
2021-09-14,0.05,,1,0.05,0.0,0,1,0,0,0,0,0,0,188.0,REG
2021-09-15,0.1709,0.0726,2,0.1709,0.0,0,0,1,0,0,1,0,0,411.5,REG
2021-09-20,0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,254.0,REG
2021-09-21,0.2479,0.0029,2,0.2479,0.0,1,0,0,0,0,0,0,0,209.0,REG
2021-09-22,0.2262,,1,0.2262,0.0,0,0,0,0,0,0,0,0,264.0,REG
2021-09-25,0.3288,,1,0.3288,0.0,0,0,0,0,0,0,0,0,160.0,REG
2021-09-28,0.0,,1,0.0,0.0,1,0,1,0,1,0,0,0,580.0,REG
2021-10-03,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,250.0,REG
2021-10-09,-0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,196.0,REG
2021-10-15,0.2946,,1,0.2946,0.0,0,0,0,0,0,0,0,0,258.0,REG
2021-10-29,0.0,0.0,3,0.0,0.0,3,0,1,0,0,0,0,0,233.0,REG
2021-11-04,0.0,0.0,2,0.0,0.0,1,0,0,0,0,0,0,0,216.5,REG
2021-11-05,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,159.5,REG
2021-11-16,0.0714,0.101,2,0.0714,0.0,0,1,0,0,0,0,0,0,231.5,REG
2021-11-19,0.4111,,1,0.4111,0.0,0,0,0,0,0,0,0,0,198.0,REG
2021-11-22,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,250.0,REG
2021-12-09,0.1667,,1,0.1667,0.0,0,0,0,0,0,1,0,0,180.0,REG
2021-12-10,0.0938,0.1326,2,0.0938,0.0,0,0,0,0,0,0,0,0,156.0,REG
2021-12-12,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,235.0,REG
2021-12-15,0.2278,,1,0.2278,0.0,0,0,0,0,0,0,0,0,186.0,REG
2021-12-22,0.2427,0.2224,2,0.2427,0.2,0,0,0,0,0,0,0,0,199.5,REG
2021-12-27,0.1233,,1,0.1233,0.0,1,0,0,0,0,0,0,0,210.0,REG
2022-01-02,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,250.0,REG
2022-01-04,-0.0938,0.1326,2,0.0938,0.0,1,0,1,0,1,0,0,0,389.0,REG
2022-01-11,0.1121,,1,0.1121,0.0,0,0,0,0,0,0,0,0,198.0,REG
2022-01-13,0.1,,1,0.1,0.0,0,1,0,0,0,0,0,0,209.0,REG
2022-01-21,-0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,285.0,REG
2022-01-26,-0.6,,1,0.6,0.0,0,0,0,0,0,1,0,0,193.0,REG
2022-02-01,-0.0944,,1,0.0944,0.0,0,0,1,0,0,0,0,0,168.0,REG
2022-02-03,0.1444,,1,0.1444,0.0,1,0,0,0,0,0,0,0,232.0,REG
2022-02-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,215.0,REG
2022-02-08,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,118.0,REG
2022-02-09,0.0722,0.1021,2,0.0722,0.0,2,0,0,0,0,0,0,0,245.5,REG
2022-02-10,0.05,,1,0.05,0.0,0,0,0,0,0,0,0,0,554.0,REG
2022-02-11,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,190.0,REG
2022-02-14,0.06,,1,0.06,0.0,0,0,0,0,0,0,0,0,633.0,REG
2022-02-18,0.0,,1,0.0,0.0,1,1,0,0,0,0,0,0,213.0,REG
2022-03-01,0.2792,0.1709,2,0.2792,0.1,2,0,0,0,0,0,0,0,187.0,REG
2022-03-03,0.0341,,1,0.0341,0.0,0,0,0,0,0,0,1,0,503.0,REG
2022-03-05,0.55,,1,0.55,0.0,0,0,0,0,0,0,0,0,203.0,REG
2022-03-06,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,231.0,REG
2022-03-13,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,249.0,REG
2022-03-14,0.13,,1,0.13,0.0,0,1,0,0,0,0,0,0,197.0,REG
2022-03-23,0.25,,1,0.25,0.0,1,0,1,0,1,0,0,0,572.0,REG
2022-03-31,0.0456,,1,0.0456,0.0,0,0,0,0,0,0,0,0,611.0,REG
2022-04-06,0.2521,,1,0.2521,0.0,0,0,0,0,0,0,0,0,806.0,REG
2022-04-26,-0.1667,,1,0.1667,0.0,0,1,0,0,0,0,0,0,145.0,REG
2022-05-03,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,243.0,REG
2022-05-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,188.0,REG
2022-05-18,0.2167,,1,0.2167,0.0,0,0,0,1,0,0,0,0,840.0,REG
2022-05-22,0.1107,,1,0.1107,0.0,0,0,1,0,0,0,0,0,215.0,REG
2022-05-24,0.2028,0.2789,2,0.2028,0.0,0,0,0,0,1,0,0,0,362.0,REG
2022-05-27,0.1,,1,0.1,0.0,0,1,0,0,0,0,0,0,138.0,REG
2022-06-01,-0.1,,1,0.1,0.0,0,1,1,0,0,0,0,0,160.0,REG
2022-06-02,0.1333,,1,0.1333,0.0,0,0,0,0,0,0,0,0,617.0,REG
2022-06-23,0.0,,1,0.0,0.0,1,0,1,0,1,0,0,0,577.0,REG
2022-06-27,0.35,,1,0.35,0.0,0,0,0,0,0,0,0,0,257.0,REG
2022-07-03,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,180.0,REG
2022-07-12,0.6,,1,0.6,0.0,0,0,0,0,0,1,0,0,108.0,REG
2022-07-15,0.0967,,1,0.0967,0.0,0,0,0,0,0,0,0,0,665.0,REG
2022-07-22,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,288.0,REG
2022-08-02,0.0,,1,0.0,0.0,1,0,1,0,0,0,0,0,230.0,REG
2022-08-03,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,252.5,REG
2022-08-04,0.1288,0.1252,3,0.1288,0.0,2,0,1,0,0,0,0,0,313.6667,REG
2022-08-05,0.2167,,1,0.2167,0.0,1,0,1,0,0,0,0,0,210.0,REG
2022-08-22,0.0456,,1,0.0456,0.0,0,0,0,0,0,0,0,0,612.0,REG
2022-08-24,0.3167,,1,0.3167,0.0,0,0,0,0,0,0,0,0,264.0,REG
2022-08-26,0.1747,,1,0.1747,0.0,0,0,0,0,0,0,0,0,259.0,REG
2022-09-02,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,255.0,REG
2022-09-06,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,189.0,REG
2022-09-23,0.0,,1,0.0,0.0,1,0,1,0,1,0,0,0,580.0,REG
2022-09-24,0.3,,1,0.3,0.0,0,0,0,0,0,0,0,0,115.0,REG
2022-09-25,-0.05,,1,0.05,0.0,0,0,0,0,0,0,0,0,181.0,REG
2022-09-28,0.2292,0.0295,2,0.2292,0.0,0,0,0,0,0,0,1,0,463.0,REG
2022-09-30,0.2,,1,0.2,0.0,1,0,0,0,0,0,0,0,172.0,REG
2022-10-02,0.125,0.1768,2,0.125,0.0,0,0,1,0,0,1,0,0,221.5,REG
2022-10-07,0.1161,0.1188,4,0.1161,0.0,0,0,0,0,0,0,0,0,475.25,REG
2022-10-11,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,253.0,REG
2022-10-13,0.4333,,1,0.4333,0.0,0,0,0,0,0,0,0,0,210.0,REG
2022-10-14,0.2131,0.1229,2,0.2131,0.0,0,1,2,1,0,1,0,0,546.5,REG
2022-11-01,-0.1,,1,0.1,0.0,1,0,0,0,0,0,0,0,210.0,REG
2022-11-02,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,237.0,REG
2022-11-03,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,448.0,REG
2022-11-10,0.1765,,1,0.1765,0.0,0,1,0,0,0,0,0,0,245.0,REG
2022-11-15,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,256.0,REG
2022-11-17,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,227.0,REG
2022-11-21,0.0461,0.0572,3,0.0461,0.0,0,0,0,0,0,0,0,0,696.0,REG
2022-11-22,0.3167,,1,0.3167,0.0,0,0,0,0,0,0,0,0,260.0,REG
2022-11-28,0.3167,,1,0.3167,0.0,0,0,0,0,0,0,0,0,256.0,REG
2022-12-02,0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,259.0,REG
2022-12-05,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,250.0,REG
2022-12-08,0.25,,1,0.25,0.0,0,0,0,0,0,1,0,0,249.0,REG
2022-12-09,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,211.0,REG
2022-12-11,0.5,,1,0.5,0.0,0,0,0,0,0,1,0,0,236.0,REG
2022-12-16,-0.0183,,1,0.0183,0.0,0,1,1,0,0,0,0,0,7711.0,REG
2023-01-01,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,221.0,REG
2023-01-05,0.0,,1,0.0,0.0,1,0,1,0,1,0,0,0,582.0,REG
2023-01-06,-0.0205,,1,0.0205,0.0,0,1,0,0,0,0,0,0,10268.0,REG
2023-01-20,-0.15,0.2121,2,0.15,0.0,0,0,0,0,0,0,0,0,218.0,REG
2023-02-02,0.0162,,1,0.0162,0.0,1,0,0,0,0,0,0,0,230.0,REG
2023-02-03,0.0216,,1,0.0216,0.0,1,0,0,0,0,0,0,0,172.0,REG
2023-02-06,0.0216,,1,0.0216,0.0,1,0,0,0,0,0,0,0,170.0,REG
2023-02-07,0.1239,0.3368,3,0.2239,0.0,1,0,0,0,0,0,1,0,301.0,REG
2023-02-09,0.1833,0.2754,3,0.1833,0.0,1,0,0,0,0,0,0,0,319.6667,REG
