date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-28,0.1364,,1,0.1364,0.0,0,0,0,0,1,0,1,0,951.0,SNPS
2021-05-11,0.0516,,1,0.0516,0.0,0,1,0,0,1,0,1,0,1082.0,SNPS
2021-05-12,0.0371,,1,0.0371,0.0,1,1,0,0,0,0,0,0,231.0,SNPS
2021-05-14,0.1444,,1,0.1444,0.0,1,0,1,0,1,0,0,0,250.0,SNPS
2021-05-18,0.0794,,1,0.0794,0.0,0,1,0,0,1,0,1,0,918.0,SNPS
2021-05-19,0.0104,,1,0.0104,0.0,1,0,0,0,0,0,0,0,1341.0,SNPS
2021-05-20,0.0189,0.0264,4,0.0189,0.0,4,0,1,0,2,0,0,0,515.25,SNPS
2021-05-26,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,100.0,SNPS
2021-06-02,0.0068,,1,0.0068,0.0,0,1,1,0,0,0,0,0,4041.0,SNPS
2021-06-04,0.1729,,1,0.1729,0.0,0,0,0,0,0,0,0,0,185.0,SNPS
2021-06-07,0.1167,,1,0.1167,0.0,1,0,0,0,0,0,0,0,207.0,SNPS
2021-06-09,0.0,,1,0.0,0.0,0,1,1,0,0,0,0,0,222.0,SNPS
2021-06-14,0.09,,1,0.09,0.0,0,0,0,0,0,0,0,0,235.0,SNPS
2021-06-18,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,196.0,SNPS
2021-06-21,0.0,,1,0.0,0.0,0,1,0,0,0,1,0,0,184.0,SNPS
2021-06-22,-0.025,,1,0.025,0.0,0,1,0,0,0,0,0,0,253.0,SNPS
2021-06-28,0.0,,1,0.0,0.0,0,1,0,1,0,1,0,0,225.0,SNPS
2021-06-29,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,142.0,SNPS
2021-07-05,-0.1012,,1,0.1012,0.0,1,1,0,0,0,0,0,0,182.0,SNPS
2021-07-06,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,181.0,SNPS
2021-07-08,0.0211,0.1005,2,0.0711,0.0,1,1,0,0,0,0,0,0,231.5,SNPS
2021-07-16,0.0,0.0,2,0.0,0.0,0,0,0,0,1,0,0,0,129.5,SNPS
2021-07-20,0.0,,1,0.0,0.0,0,0,0,1,0,0,0,0,158.0,SNPS
2021-07-22,0.0,,1,0.0,0.0,1,0,1,0,1,0,0,0,253.0,SNPS
2021-07-24,-0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,180.0,SNPS
2021-08-11,0.031,,1,0.031,0.0,1,0,0,0,1,0,0,0,257.0,SNPS
2021-08-13,0.0,,1,0.0,0.0,1,0,0,0,1,0,0,0,253.0,SNPS
2021-08-16,0.1881,,1,0.1881,0.0,1,0,0,0,0,0,0,0,252.0,SNPS
2021-08-18,0.25,0.3536,2,0.25,0.0,2,0,0,0,0,0,0,0,177.0,SNPS
2021-08-19,0.125,0.1768,2,0.125,0.0,2,0,1,0,1,0,0,0,182.5,SNPS
2021-08-20,0.0,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,91.0,SNPS
2021-08-21,0.0736,,1,0.0736,0.0,0,1,0,0,0,0,0,0,185.0,SNPS
2021-08-24,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,131.0,SNPS
2021-08-30,-0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,191.0,SNPS
2021-08-31,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,120.0,SNPS
2021-09-02,0.4,,1,0.4,0.0,0,1,0,0,0,0,0,0,208.0,SNPS
2021-09-04,0.049,0.2814,2,0.199,0.0,1,0,0,0,0,0,0,0,161.0,SNPS
2021-09-06,0.2143,,1,0.2143,0.0,0,1,0,0,0,0,1,0,235.0,SNPS
2021-09-15,0.0788,,1,0.0788,0.0,0,0,0,0,1,0,0,0,134.0,SNPS
2021-09-17,0.1317,0.1317,4,0.1317,0.05,2,2,2,0,0,0,0,0,468.5,SNPS
2021-09-18,0.1192,,1,0.1192,0.0,0,0,0,0,1,0,0,0,1444.0,SNPS
2021-09-22,0.0,,1,0.0,0.0,0,0,1,1,0,0,0,0,204.0,SNPS
2021-10-05,-0.0167,,1,0.0167,0.0,0,0,0,0,0,0,0,0,161.0,SNPS
2021-10-20,0.075,0.1061,2,0.075,0.0,1,1,0,0,1,0,0,0,405.0,SNPS
2021-11-03,-0.05,,1,0.05,0.0,1,0,0,0,0,0,0,0,249.0,SNPS
2021-11-13,0.1121,,1,0.1121,0.0,0,0,0,0,0,0,0,0,165.0,SNPS
2021-11-24,0.0371,,1,0.0371,0.0,1,1,0,0,0,0,0,0,231.0,SNPS
2021-11-30,0.1667,0.2887,3,0.1667,0.0,1,1,0,0,2,0,0,0,190.6667,SNPS
2021-12-01,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,243.0,SNPS
2021-12-02,0.1095,0.1756,4,0.1095,0.0,4,0,0,0,2,0,1,0,517.75,SNPS
2021-12-03,0.075,,1,0.075,0.0,1,0,0,0,0,0,0,0,601.0,SNPS
2021-12-07,0.08,,1,0.08,0.0,1,1,0,0,0,0,0,0,131.0,SNPS
2021-12-13,0.5,,1,0.5,0.0,0,1,0,0,0,1,0,0,262.0,SNPS
2021-12-14,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,63.0,SNPS
2021-12-17,0.05,,1,0.05,0.0,0,1,0,0,0,0,0,0,258.0,SNPS
2021-12-22,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,105.0,SNPS
2021-12-24,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,231.0,SNPS
2021-12-31,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,186.0,SNPS
2022-01-06,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,112.0,SNPS
2022-01-08,-0.2375,,1,0.2375,0.0,0,0,0,0,0,0,0,0,188.0,SNPS
2022-01-09,0.2833,,1,0.2833,0.0,0,1,0,0,0,0,0,0,131.0,SNPS
2022-01-19,0.1444,,1,0.1444,0.0,0,0,1,0,0,0,0,0,246.0,SNPS
2022-01-23,0.2444,,1,0.2444,0.0,1,0,0,0,0,0,0,0,197.0,SNPS
2022-01-24,0.2507,,1,0.2507,0.0,0,0,0,0,0,0,0,0,214.0,SNPS
2022-01-26,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,263.0,SNPS
2022-01-29,0.1244,0.0598,2,0.1244,0.0,0,0,1,0,0,0,0,0,251.0,SNPS
2022-02-01,0.0,,1,0.0,0.0,1,1,1,0,0,0,0,0,216.0,SNPS
2022-02-09,0.031,,1,0.031,0.0,1,0,0,0,1,0,0,0,257.0,SNPS
2022-02-14,0.2778,,1,0.2778,0.0,1,0,0,0,0,0,0,0,252.0,SNPS
2022-02-15,0.1667,,1,0.1667,0.0,0,1,0,0,0,0,0,0,157.0,SNPS
2022-02-16,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,242.0,SNPS
2022-02-17,0.0,,1,0.0,0.0,1,0,0,0,1,0,0,0,210.0,SNPS
2022-02-25,0.0125,,1,0.0125,0.0,0,0,0,0,0,0,0,0,187.0,SNPS
2022-03-07,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,172.0,SNPS
2022-03-15,-0.1318,,1,0.1318,0.0,0,0,0,0,0,0,0,0,241.0,SNPS
2022-03-18,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,186.0,SNPS
2022-03-21,0.0733,0.0094,2,0.0733,0.0,0,0,0,0,0,0,0,0,199.0,SNPS
2022-03-22,0.1729,,1,0.1729,0.0,0,0,0,0,0,0,0,0,179.0,SNPS
2022-04-01,0.4,,1,0.4,0.0,0,0,0,0,0,0,0,0,266.0,SNPS
2022-04-06,-0.2,,1,0.2,0.0,0,0,0,1,0,0,0,0,223.0,SNPS
2022-04-12,0.1,,1,0.1,0.2,0,1,0,0,0,0,0,0,210.0,SNPS
2022-04-13,-0.0104,0.1577,4,0.1143,0.0,0,0,0,0,0,0,0,0,186.0,SNPS
2022-04-14,0.0,0.0,2,0.0,0.0,0,1,0,0,1,0,0,0,213.5,SNPS
2022-04-19,0.115,,1,0.115,0.0,0,1,0,0,0,0,0,0,219.0,SNPS
2022-04-20,0.2091,,1,0.2091,0.0,0,0,0,0,0,0,0,0,247.0,SNPS
2022-04-22,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,87.0,SNPS
2022-05-04,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,257.0,SNPS
2022-05-11,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,282.0,SNPS
2022-05-13,0.2667,,1,0.2667,0.0,1,0,0,0,0,0,0,0,230.0,SNPS
2022-05-18,-0.0653,0.0923,2,0.0653,0.0,1,0,0,0,0,0,0,0,180.5,SNPS
2022-05-19,0.0967,0.1002,3,0.0967,0.0,2,0,1,0,1,0,0,0,329.3333,SNPS
2022-05-21,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,180.0,SNPS
2022-05-23,0.2667,,1,0.2667,0.0,0,1,0,0,0,0,0,0,210.0,SNPS
2022-05-24,0.2333,,1,0.2333,0.0,0,0,0,0,0,0,0,0,92.0,SNPS
2022-05-26,0.0975,,1,0.0975,0.0,1,0,0,0,0,0,0,0,354.0,SNPS
2022-05-29,0.2833,,1,0.2833,0.0,0,0,0,0,0,0,0,0,105.0,SNPS
2022-05-30,0.1199,0.1519,2,0.1199,0.0,0,1,0,0,0,0,0,0,183.0,SNPS
2022-05-31,0.1167,,1,0.1167,0.0,1,0,0,0,0,0,0,0,199.0,SNPS
2022-06-01,0.3,,1,0.3,0.0,0,1,0,0,0,0,0,0,162.0,SNPS
2022-06-02,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,193.0,SNPS
2022-06-03,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,250.0,SNPS
2022-06-09,0.0533,,1,0.0533,0.0,0,1,0,0,0,0,0,0,227.0,SNPS
2022-06-10,0.1333,,1,0.1333,0.2,0,0,0,0,1,0,0,0,255.0,SNPS
2022-06-13,0.2202,,1,0.2202,0.0,1,0,0,0,0,0,0,0,361.0,SNPS
2022-06-14,0.2,0.2828,2,0.2,0.0,0,1,1,0,0,0,0,0,247.0,SNPS
2022-06-16,0.2333,0.2357,2,0.2333,0.0,0,0,0,0,0,0,0,0,191.5,SNPS
2022-06-17,0.1443,0.2105,3,0.1789,0.0,1,0,0,0,1,0,0,0,201.6667,SNPS
2022-06-22,0.0135,0.0192,2,0.0135,0.0,0,0,1,0,0,0,0,0,189.5,SNPS
2022-06-23,0.0531,0.1393,3,0.0877,0.0,1,2,1,0,0,0,0,0,187.3333,SNPS
