date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-26,0.0163,0.1409,2,0.0996,0.0,0,1,1,0,0,0,0,0,6349.5,SWK
2021-04-27,-0.0739,0.0546,2,0.0739,0.0,2,1,0,0,1,0,0,0,262.0,SWK
2021-04-28,-0.0307,0.1401,4,0.1081,0.0,4,0,1,0,0,0,0,0,2318.25,SWK
2021-05-01,0.0667,,1,0.0667,0.0,0,0,0,0,0,0,0,0,147.0,SWK
2021-05-04,0.1068,,1,0.1068,0.0,0,0,1,0,0,0,1,0,6098.0,SWK
2021-05-08,0.2667,,1,0.2667,0.0,0,0,0,0,0,0,0,0,162.0,SWK
2021-05-09,-0.0625,,1,0.0625,0.0,1,0,1,0,0,0,0,0,206.0,SWK
2021-05-10,0.1279,,1,0.1279,0.0,0,1,0,0,0,0,1,0,26901.0,SWK
2021-05-13,0.275,,1,0.275,0.0,0,1,0,0,0,1,0,0,228.0,SWK
2021-05-24,0.8,,1,0.8,0.0,0,1,0,0,0,0,0,0,90.0,SWK
2021-05-28,0.1148,,1,0.1148,0.0,0,0,0,0,0,0,0,0,125.0,SWK
2021-06-01,0.0556,0.0786,2,0.0556,0.0,1,0,0,0,0,0,0,0,135.5,SWK
2021-06-02,-0.1667,,1,0.1667,0.0,0,0,0,0,0,0,0,0,240.0,SWK
2021-06-06,0.0,,1,0.0,0.0,0,1,0,0,0,1,0,0,106.0,SWK
2021-06-07,0.55,,1,0.55,0.0,0,1,0,0,1,0,0,0,143.0,SWK
2021-06-11,0.125,,1,0.125,0.0,0,0,0,0,1,0,0,0,252.0,SWK
2021-06-17,-0.0347,0.0373,2,0.0347,0.0,1,1,1,0,1,0,0,0,337.0,SWK
2021-06-18,-0.1083,,1,0.1083,0.0,0,0,0,1,1,0,1,0,967.0,SWK
2021-06-24,0.55,,1,0.55,0.0,1,1,0,0,0,0,0,0,195.0,SWK
2021-06-25,-0.1667,,1,0.1667,0.0,0,0,0,0,0,0,0,0,276.0,SWK
2021-06-28,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,111.0,SWK
2021-07-05,-0.3,,1,0.3,0.0,0,0,0,0,0,1,0,0,235.0,SWK
2021-07-10,0.4,,1,0.4,0.0,1,0,0,0,0,0,0,0,167.0,SWK
2021-07-11,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,176.0,SWK
2021-07-13,0.375,0.1768,2,0.375,0.0,1,0,0,0,0,1,0,0,196.0,SWK
2021-07-16,0.5,,1,0.5,0.0,1,0,0,0,1,0,0,0,218.0,SWK
2021-07-20,0.2117,0.3292,2,0.2328,0.0,1,1,0,0,0,0,0,0,234.5,SWK
2021-07-23,-0.0333,,1,0.0333,0.0,1,1,0,0,1,0,0,0,261.0,SWK
2021-07-25,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,221.0,SWK
2021-07-26,0.119,,1,0.119,0.0,1,0,0,0,0,0,0,0,270.0,SWK
2021-07-27,-0.0787,0.1079,3,0.1065,0.0,3,0,0,0,0,0,0,0,212.6667,SWK
2021-07-31,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,178.0,SWK
2021-08-07,0.45,,1,0.45,0.0,0,0,0,0,0,1,0,0,212.0,SWK
2021-08-09,0.4333,,1,0.4333,0.0,0,0,0,0,0,1,0,0,186.0,SWK
2021-08-18,-0.0339,0.1563,2,0.1105,0.0,1,2,1,0,2,0,0,0,1302.0,SWK
2021-08-19,0.375,,1,0.375,0.0,0,0,1,0,0,0,0,0,132.0,SWK
2021-08-25,-0.1667,,1,0.1667,0.0,0,0,0,0,0,0,0,0,118.0,SWK
2021-08-26,-0.0978,,1,0.0978,0.0,1,0,0,0,0,0,0,0,223.0,SWK
2021-08-29,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,223.0,SWK
2021-08-30,-0.0667,,1,0.0667,0.0,0,1,0,0,0,0,0,0,224.0,SWK
2021-09-11,0.4229,,1,0.4229,0.0,0,0,0,0,0,1,0,0,216.0,SWK
2021-09-15,-0.1667,,1,0.1667,0.0,0,1,0,0,1,0,0,0,227.0,SWK
2021-09-19,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,132.0,SWK
2021-09-20,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,151.0,SWK
2021-09-21,0.1786,,1,0.1786,0.0,0,0,0,0,0,0,0,0,158.0,SWK
2021-09-23,0.8333,,1,0.8333,0.0,1,1,0,0,0,0,0,0,116.0,SWK
2021-09-24,0.5,,1,0.5,0.0,0,0,0,0,0,1,0,0,211.0,SWK
2021-09-25,0.225,,1,0.225,0.0,0,0,0,0,0,0,0,0,253.0,SWK
2021-09-28,0.1222,,1,0.1222,0.0,0,0,0,0,0,0,0,0,316.0,SWK
2021-09-29,0.4444,0.5853,3,0.5556,0.0667,1,0,0,0,1,1,0,0,224.3333,SWK
2021-10-01,0.2667,,1,0.2667,0.0,0,0,0,0,1,0,0,0,260.0,SWK
2021-10-07,0.0,,1,0.0,0.0,0,0,0,0,1,0,0,0,215.0,SWK
2021-10-08,0.4,,1,0.4,0.0,0,1,0,0,1,0,0,0,215.0,SWK
2021-10-09,0.3229,,1,0.3229,0.0,0,0,0,0,0,1,0,0,252.0,SWK
2021-10-12,0.0389,,1,0.0389,0.0,0,1,1,0,0,0,0,0,1028.0,SWK
2021-10-17,0.1178,,1,0.1178,0.0,0,0,0,0,0,0,0,0,179.0,SWK
2021-10-21,-0.0079,,1,0.0079,0.0,1,0,0,0,0,0,0,0,286.0,SWK
2021-10-23,0.1167,0.2121,2,0.15,0.0,0,1,0,0,0,1,0,0,184.0,SWK
2021-10-26,0.0927,,1,0.0927,0.0,1,1,0,0,1,0,0,0,278.0,SWK
2021-10-28,-0.0746,0.0879,4,0.0948,0.0,4,0,0,0,0,0,0,0,254.0,SWK
2021-10-30,-0.0476,0.0673,2,0.0476,0.0,0,0,0,0,1,0,0,0,264.5,SWK
2021-11-12,0.4,,1,0.4,0.0,0,1,0,0,0,1,0,0,133.0,SWK
2021-11-13,0.3229,,1,0.3229,0.0,0,0,0,0,0,1,0,0,211.0,SWK
2021-11-15,-0.1111,,1,0.1111,0.0,1,0,0,0,0,0,0,0,196.0,SWK
2021-11-28,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,225.0,SWK
2021-11-30,0.3167,,1,0.3167,0.0,0,1,0,0,0,0,0,0,136.0,SWK
2021-12-01,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,115.0,SWK
2021-12-02,0.0406,,1,0.0406,0.0,0,0,0,0,0,0,0,0,150.0,SWK
2021-12-03,-0.1667,,1,0.1667,0.0,0,1,0,0,1,0,0,0,225.0,SWK
2021-12-09,0.0417,,1,0.0417,0.0,0,1,1,0,0,0,0,0,263.0,SWK
2021-12-10,0.0508,,1,0.0508,0.0,0,0,0,0,0,0,0,0,150.0,SWK
2021-12-11,0.3229,,1,0.3229,0.0,0,0,0,0,0,1,0,0,253.0,SWK
2021-12-16,0.4,,1,0.4,0.0,0,0,0,0,0,0,0,0,150.0,SWK
2021-12-22,0.5455,,1,0.5455,0.0,0,0,0,0,0,0,0,0,153.0,SWK
2021-12-26,0.3125,0.4066,2,0.3125,0.0,0,0,0,0,0,1,0,0,172.0,SWK
2021-12-27,0.2333,,1,0.2333,0.0,0,1,0,0,0,0,0,0,219.0,SWK
2022-01-03,0.525,,1,0.525,0.0,0,0,0,0,0,1,0,0,191.0,SWK
2022-01-06,0.4,,1,0.4,0.0,0,1,0,0,0,0,0,0,194.0,SWK
2022-01-08,0.3048,,1,0.3048,0.0,0,0,0,0,0,1,0,0,244.0,SWK
2022-01-13,0.1169,,1,0.1169,0.0,1,0,0,0,0,0,0,0,268.0,SWK
2022-01-18,0.5,,1,0.5,0.0,0,0,0,0,1,0,0,0,223.0,SWK
2022-01-25,0.0128,,1,0.0128,0.0,1,0,0,0,0,0,0,0,272.0,SWK
2022-01-26,0.3,,1,0.3,0.0,0,0,0,0,0,1,0,0,222.0,SWK
2022-01-28,0.1271,0.3238,3,0.2062,0.0,2,1,0,0,0,1,0,0,209.0,SWK
2022-02-01,-0.137,0.0367,2,0.137,0.0,2,1,0,0,0,0,0,0,258.0,SWK
2022-02-05,0.45,,1,0.45,0.0,0,1,0,0,0,1,0,0,217.0,SWK
2022-02-06,0.2575,0.3995,2,0.2825,0.0,0,1,0,0,0,2,0,0,189.0,SWK
2022-02-07,0.4,,1,0.4,0.0,0,0,0,0,0,1,0,0,246.0,SWK
2022-02-09,-0.0629,,1,0.0629,0.0,0,0,0,0,0,0,0,0,383.0,SWK
2022-02-11,0.2833,0.0236,2,0.2833,0.0,0,1,0,0,1,0,0,0,189.0,SWK
2022-02-13,0.107,,1,0.107,0.0,0,1,0,0,0,0,0,0,196.0,SWK
2022-02-14,-0.1667,,1,0.1667,0.0,0,0,0,0,0,0,0,0,248.0,SWK
2022-02-16,0.3438,,1,0.3438,0.0,0,1,0,0,0,1,0,0,214.0,SWK
2022-02-18,0.1,,1,0.1,0.0,0,1,0,0,0,0,0,0,144.0,SWK
2022-02-24,0.0,,1,0.0,0.0,0,1,0,0,0,1,0,0,97.0,SWK
2022-02-27,0.45,0.6364,2,0.45,0.0,0,1,0,0,0,1,0,0,195.0,SWK
2022-03-03,-0.0978,,1,0.0978,0.0,1,0,0,0,0,0,0,0,223.0,SWK
2022-03-05,0.45,,1,0.45,0.0,0,0,0,0,0,1,0,0,215.0,SWK
2022-03-06,0.1667,,1,0.1667,0.0,0,1,1,0,0,1,0,0,231.0,SWK
2022-03-20,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,249.0,SWK
2022-03-22,0.1192,,1,0.1192,0.0,0,0,1,0,0,0,0,0,297.0,SWK
2022-03-23,-0.0395,0.3685,2,0.2605,0.0,0,0,1,0,0,1,0,0,173.5,SWK
2022-03-30,-0.0244,,1,0.0244,0.0,0,0,0,0,0,0,0,0,704.0,SWK
2022-04-03,0.7,,1,0.7,0.0,0,0,0,0,0,1,0,0,131.0,SWK
2022-04-04,-0.1667,,1,0.1667,0.0,0,0,0,0,0,0,0,0,101.0,SWK
2022-04-05,-0.0088,,1,0.0088,0.0,0,1,1,0,0,0,0,0,10948.0,SWK
2022-04-06,-0.0333,,1,0.0333,0.0,0,0,0,0,0,1,0,0,237.0,SWK
2022-04-14,0.1058,,1,0.1058,0.0,1,0,0,0,0,0,0,0,278.0,SWK
2022-04-20,0.1644,0.2507,2,0.1772,0.0,0,0,0,0,0,1,0,0,465.0,SWK
2022-04-21,0.0128,,1,0.0128,0.0,1,0,0,0,0,0,0,0,272.0,SWK
2022-04-23,0.5833,,1,0.5833,0.0,0,0,0,0,0,1,0,0,167.0,SWK
2022-04-25,0.1013,,1,0.1013,0.0,1,0,0,0,1,0,0,0,243.0,SWK
2022-04-27,0.08,,1,0.08,0.0,1,0,0,0,0,0,0,0,340.0,SWK
2022-04-28,-0.1111,,1,0.1111,0.0,1,0,0,0,0,0,0,0,255.0,SWK
2022-04-29,0.1812,0.1214,4,0.1812,0.0,2,1,1,0,1,0,0,0,1464.0,SWK
2022-05-06,0.1417,0.2003,2,0.1417,0.0,1,1,0,0,0,1,0,0,146.0,SWK
2022-05-07,0.3229,,1,0.3229,0.0,0,0,0,0,0,1,0,0,248.0,SWK
2022-05-09,0.1349,,1,0.1349,0.0,0,1,0,0,1,0,1,0,838.0,SWK
2022-05-10,-0.1333,,1,0.1333,0.0,0,1,0,0,0,1,0,0,205.0,SWK
2022-05-12,0.2548,,1,0.2548,0.0,0,0,0,0,0,0,0,0,178.0,SWK
2022-05-14,0.2389,0.3378,2,0.2389,0.0,0,0,0,0,0,0,0,0,184.0,SWK
2022-05-31,-0.0267,0.0059,2,0.0267,0.0,0,0,0,0,0,0,0,0,458.5,SWK
2022-06-02,-0.02,,1,0.02,0.0,0,0,0,0,0,0,0,0,197.0,SWK
2022-06-04,0.3229,,1,0.3229,0.0,0,0,0,0,0,1,0,0,249.0,SWK
2022-06-05,0.5333,,1,0.5333,0.0,0,1,0,0,0,1,0,0,165.0,SWK
2022-06-08,0.0133,,1,0.0133,0.0,0,0,0,0,0,0,0,0,188.0,SWK
2022-06-11,0.0,,1,0.0,0.0,0,1,0,0,0,1,0,0,114.0,SWK
2022-06-17,0.0133,,1,0.0133,0.0,0,0,0,0,0,0,0,0,199.0,SWK
2022-06-18,0.25,,1,0.25,0.0,0,1,0,0,0,1,0,0,252.0,SWK
2022-06-24,-0.1222,,1,0.1222,0.0,0,0,0,0,0,0,0,0,235.0,SWK
2022-06-25,0.4791,0.0553,2,0.4791,0.0,0,1,0,0,0,2,0,0,208.0,SWK
2022-06-26,-0.0246,,1,0.0246,0.0,0,0,0,0,0,1,0,0,234.0,SWK
2022-06-28,0.1792,0.277,2,0.1958,0.0,0,0,0,0,0,1,0,0,192.5,SWK
2022-06-29,-0.1667,,1,0.1667,0.0,0,0,0,0,0,0,0,0,230.0,SWK
2022-06-30,0.5,,1,0.5,0.0,0,0,0,0,0,1,0,0,195.0,SWK
2022-07-02,0.46,,1,0.46,0.0,0,0,0,0,0,1,0,0,221.0,SWK
2022-07-06,0.2083,0.4125,2,0.2917,0.0,0,1,1,0,0,1,0,0,203.0,SWK
2022-07-07,0.15,0.1933,2,0.15,0.0,0,0,0,0,0,0,0,0,201.0,SWK
2022-07-10,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,219.0,SWK
2022-07-11,0.35,,1,0.35,0.0,0,0,0,0,0,1,0,0,225.0,SWK
2022-07-14,0.0571,,1,0.0571,0.0,0,0,0,0,0,0,0,0,207.0,SWK
2022-07-20,-0.0656,0.0644,2,0.0656,0.0,1,1,0,0,0,0,0,0,228.0,SWK
2022-07-24,0.15,0.2121,2,0.15,0.0,0,1,0,0,0,1,0,0,168.5,SWK
2022-07-25,0.3,,1,0.3,0.0,0,1,0,0,0,0,0,0,159.0,SWK
2022-07-28,-0.0292,0.1444,4,0.1153,0.0,3,1,0,0,1,0,0,0,1163.75,SWK
2022-07-29,0.0061,0.1196,4,0.0774,0.0,2,2,2,0,1,0,0,0,2465.25,SWK
2022-07-30,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,180.0,SWK
2022-07-31,0.2208,,1,0.2208,0.0,1,1,0,0,0,0,0,0,203.0,SWK
2022-08-01,-0.0449,0.0708,3,0.0633,0.0,1,1,1,0,1,0,1,0,2369.0,SWK
2022-08-02,-0.1278,,1,0.1278,0.0,0,0,0,0,0,1,0,0,212.0,SWK
2022-08-03,0.5,,1,0.5,0.0,0,0,0,0,0,1,0,0,149.0,SWK
2022-08-05,0.1429,,1,0.1429,0.0,0,1,0,0,0,0,1,0,825.0,SWK
2022-08-06,0.0435,0.3866,3,0.2565,0.0,0,1,0,0,0,2,1,0,197.3333,SWK
2022-08-07,0.1563,,1,0.1563,0.0,0,0,0,0,0,1,0,0,186.0,SWK
2022-08-08,-0.1278,,1,0.1278,0.0,1,0,0,0,0,0,0,0,273.0,SWK
2022-08-10,0.1,0.1414,2,0.1,0.0,0,0,0,0,0,1,0,0,170.0,SWK
2022-08-12,-0.0406,0.143,2,0.1011,0.0,0,1,1,0,0,2,0,0,187.5,SWK
2022-08-14,0.1333,,1,0.1333,0.0,0,1,0,0,0,0,0,0,139.0,SWK
2022-08-15,0.1422,0.2017,3,0.1422,0.0,0,0,0,0,0,0,0,0,658.3333,SWK
2022-08-16,-0.1833,,1,0.1833,0.0,1,1,0,0,0,0,0,0,180.0,SWK
2022-08-17,-0.001,0.0367,2,0.026,0.0,1,1,1,0,0,0,0,0,3384.0,SWK
2022-08-19,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,151.0,SWK
2022-08-20,0.4,,1,0.4,0.0,0,0,0,0,0,1,0,0,145.0,SWK
2022-08-22,0.0843,,1,0.0843,0.0,0,1,0,0,0,0,0,0,137.0,SWK
2022-08-24,0.3305,,1,0.3305,0.0,0,1,0,0,0,1,0,0,174.0,SWK
2022-08-25,0.0708,,1,0.0708,0.0,0,1,0,0,0,0,0,0,160.0,SWK
2022-08-28,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,234.0,SWK
2022-09-03,0.3229,,1,0.3229,0.0,0,0,0,0,0,1,0,0,265.0,SWK
2022-09-06,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,110.0,SWK
2022-09-09,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,97.0,SWK
2022-09-13,0.2,,1,0.2,0.0,0,1,0,0,0,0,0,0,730.0,SWK
2022-09-14,-0.1,0.1732,3,0.1,0.0,0,2,0,0,0,1,1,0,173.0,SWK
2022-09-16,0.006,0.2744,2,0.194,0.0,0,1,0,0,0,0,0,0,209.5,SWK
2022-09-17,-0.045,,1,0.045,0.0,0,0,0,0,0,1,0,0,184.0,SWK
2022-09-18,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,242.0,SWK
2022-09-20,0.1722,,1,0.1722,0.0,0,1,0,0,0,1,0,0,195.0,SWK
2022-09-22,-0.0278,,1,0.0278,0.0,0,0,0,0,0,1,0,0,163.0,SWK
2022-09-24,0.3458,0.0766,2,0.3458,0.0,1,0,1,0,0,1,0,0,181.5,SWK
2022-09-29,0.215,0.3041,2,0.215,0.0,1,0,0,0,0,2,0,0,175.5,SWK
2022-09-30,0.1667,,1,0.1667,0.0,0,1,0,0,0,1,0,0,123.0,SWK
2022-10-01,-0.9,,1,0.9,0.0,0,1,0,0,0,0,0,0,190.0,SWK
2022-10-02,-0.05,,1,0.05,0.0,0,0,0,0,0,0,0,0,147.0,SWK
2022-10-03,-0.0725,0.0747,2,0.0725,0.0,0,0,0,0,0,0,0,0,440.0,SWK
2022-10-04,0.0028,0.2396,2,0.1694,0.0,0,1,0,0,1,0,0,0,182.5,SWK
2022-10-05,0.1083,0.0943,2,0.1083,0.0,0,1,0,0,0,0,0,0,188.5,SWK
2022-10-08,0.3,,1,0.3,0.0,0,0,0,0,0,1,0,0,232.0,SWK
2022-10-11,-0.15,0.0236,2,0.15,0.0,1,0,0,0,0,0,0,0,142.0,SWK
2022-10-12,-0.0263,,1,0.0263,0.0,0,1,1,0,0,0,0,0,7593.0,SWK
2022-10-13,-0.0167,,1,0.0167,0.0,0,0,0,0,0,0,0,0,197.0,SWK
2022-10-14,0.0184,0.0832,2,0.0588,0.0,0,1,1,0,0,0,0,0,2280.0,SWK
2022-10-16,0.0,,1,0.0,0.0,0,0,0,0,0,1,0,0,221.0,SWK
2022-10-17,-0.0333,,1,0.0333,0.0,0,0,0,0,0,0,0,0,202.0,SWK
2022-10-19,0.6,,1,0.6,0.0,0,1,0,0,0,0,0,0,169.0,SWK
2022-10-20,0.0523,0.0963,3,0.0664,0.0,2,1,0,0,0,0,0,0,216.6667,SWK
2022-10-21,0.2042,,1,0.2042,0.0,0,1,0,0,0,0,0,0,166.0,SWK
2022-10-22,0.1591,0.1286,2,0.1591,0.0,1,0,0,0,0,1,0,0,169.5,SWK
2022-10-24,0.0714,,1,0.0714,0.0,1,0,0,0,0,0,0,0,262.0,SWK
2022-10-27,-0.0694,0.0589,2,0.0694,0.0,2,0,0,0,0,0,0,0,219.5,SWK
2022-10-28,0.0207,0.0307,2,0.0217,0.0,0,1,1,0,0,0,0,0,2345.5,SWK
2022-10-29,0.3222,,1,0.3222,0.0,0,0,0,0,0,0,1,0,210.0,SWK
2022-10-31,0.064,0.1281,4,0.0821,0.0,0,2,0,0,0,2,0,0,429.25,SWK
2022-11-01,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,199.0,SWK
2022-11-02,0.5,,1,0.5,0.0,0,1,0,0,0,1,0,0,228.0,SWK
2022-11-04,0.0,,1,0.0,0.0,0,1,0,0,0,1,0,0,175.0,SWK
2022-11-05,0.4036,,1,0.4036,0.0,0,0,0,0,0,1,0,0,216.0,SWK
2022-11-07,0.0425,,1,0.0425,0.0,0,1,0,0,0,0,0,0,238.0,SWK
2022-11-09,0.1667,,1,0.1667,0.0,1,0,1,0,0,0,0,0,224.0,SWK
2022-11-10,-0.0571,,1,0.0571,0.0,0,0,0,0,0,1,0,0,161.0,SWK
2022-11-11,0.1521,,1,0.1521,0.0,0,1,0,0,0,0,0,0,181.0,SWK
2022-11-18,0.2917,,1,0.2917,0.0,0,0,0,0,0,1,0,0,157.0,SWK
2022-11-20,0.0604,,1,0.0604,0.0,0,1,0,0,0,0,0,0,197.0,SWK
2022-11-24,0.175,,1,0.175,0.0,0,0,0,0,0,1,0,0,223.0,SWK
2022-11-25,0.3262,,1,0.3262,0.0,0,0,0,0,0,1,0,0,134.0,SWK
2022-11-27,0.4533,0.4903,2,0.4533,0.0,0,2,0,0,0,2,0,0,136.5,SWK
2022-11-30,0.2667,0.2667,3,0.2667,0.0,1,0,0,0,0,2,0,0,181.6667,SWK
2022-12-01,-0.1723,,1,0.1723,0.0,0,0,0,0,0,0,0,0,216.0,SWK
2022-12-03,0.475,,1,0.475,0.0,0,0,0,0,0,1,0,0,237.0,SWK
2022-12-09,0.3778,,1,0.3778,0.0,0,1,0,0,0,1,0,0,127.0,SWK
2022-12-12,0.1053,,1,0.1053,0.0,0,0,0,0,0,0,0,0,1516.0,SWK
2022-12-13,0.2236,0.3163,2,0.2236,0.0,0,0,1,0,0,1,0,0,188.5,SWK
2022-12-14,0.2786,0.3131,2,0.2786,0.0,0,1,0,0,0,1,0,0,193.0,SWK
2022-12-17,0.625,,1,0.625,0.0,0,0,0,0,0,0,0,0,101.0,SWK
2022-12-20,-0.0286,,1,0.0286,0.0,0,0,0,0,0,0,0,0,203.0,SWK
2022-12-22,-0.0778,,1,0.0778,0.0,0,0,0,0,0,1,0,0,152.0,SWK
2022-12-23,0.4,,1,0.4,0.0,0,1,0,0,0,0,0,0,173.0,SWK
2022-12-26,0.2375,,1,0.2375,0.0,0,0,0,0,0,1,0,0,187.0,SWK
2022-12-28,-0.1667,,1,0.1667,0.0,0,1,0,0,0,0,0,0,146.0,SWK
2022-12-29,-0.25,,1,0.25,0.0,0,1,0,0,0,1,0,0,202.0,SWK
2022-12-31,0.3294,0.2272,3,0.3294,0.0,0,1,0,0,0,2,0,0,184.6667,SWK
2023-01-03,0.0333,,1,0.0333,0.0,0,1,0,0,1,0,0,0,289.0,SWK
2023-01-04,-0.071,0.1845,3,0.1654,0.0,0,1,0,0,0,1,0,0,167.0,SWK
2023-01-05,1.0,,1,1.0,0.0,0,0,0,0,0,1,0,0,136.0,SWK
2023-01-06,0.0584,,1,0.0584,0.0,0,0,0,0,0,0,0,0,704.0,SWK
2023-01-07,0.3229,,1,0.3229,0.0,0,0,0,0,0,1,0,0,263.0,SWK
2023-01-09,-0.1074,,1,0.1074,0.0,0,0,0,0,1,0,0,0,183.0,SWK
2023-01-10,0.0083,,1,0.0083,0.0,0,0,0,0,0,1,0,0,180.0,SWK
2023-01-12,-0.113,0.1787,2,0.1264,0.0,0,0,0,0,0,0,1,0,197.5,SWK
2023-01-14,0.35,,1,0.35,0.0,0,0,0,0,0,1,0,0,112.0,SWK
2023-01-18,0.0621,0.0772,3,0.0754,0.0,0,2,0,0,0,1,0,0,158.0,SWK
2023-01-19,0.3314,0.0734,2,0.3314,0.0,0,1,0,0,0,0,0,0,111.5,SWK
2023-01-21,-0.0444,,1,0.0444,0.0,0,0,0,0,0,1,0,0,152.0,SWK
2023-01-22,0.0,,1,0.0,0.0,0,1,0,0,0,1,0,0,141.0,SWK
2023-01-23,0.1017,,1,0.1017,0.0,0,1,0,0,0,1,0,0,128.0,SWK
2023-01-24,-0.1519,0.2392,3,0.2148,0.0,1,0,0,0,0,0,0,0,156.3333,SWK
2023-01-25,0.0208,0.0295,2,0.0208,0.0,1,0,0,0,1,0,0,0,172.5,SWK
2023-01-26,0.1114,0.1873,2,0.1324,0.0,1,1,0,0,0,0,0,0,239.5,SWK
2023-01-27,0.2795,,1,0.2795,0.0,0,0,0,0,0,0,0,0,104.0,SWK
2023-01-28,0.6167,,1,0.6167,0.0,0,0,0,0,0,1,0,0,201.0,SWK
2023-01-30,0.1995,0.2296,2,0.1995,0.0,1,1,1,0,0,1,0,0,203.0,SWK
2023-02-01,-0.2065,,1,0.2065,0.0,1,0,0,0,0,0,0,0,182.0,SWK
2023-02-02,-0.0694,0.0589,2,0.0694,0.0,2,0,0,0,0,0,0,0,212.0,SWK
2023-02-03,-0.0036,0.0321,3,0.0258,0.0,1,1,1,0,0,0,0,0,2272.0,SWK
2023-02-04,0.475,,1,0.475,0.0,0,0,0,0,0,1,0,0,235.0,SWK
2023-02-06,0.2121,0.5357,2,0.3788,0.0,0,0,0,0,1,1,0,0,163.5,SWK
2023-02-07,0.1077,0.1522,3,0.1077,0.0,2,0,0,0,0,0,1,0,172.6667,SWK
2023-02-09,0.2917,,1,0.2917,0.0,0,1,0,0,0,0,0,0,188.0,SWK
2023-02-10,0.4,,1,0.4,0.0,0,0,0,0,0,0,0,0,136.0,SWK
2023-02-11,0.0682,,1,0.0682,0.0,0,0,0,0,0,1,0,0,229.0,SWK
2023-02-12,0.65,,1,0.65,0.0,0,1,0,0,0,1,0,0,169.0,SWK
2023-02-14,0.0238,,1,0.0238,0.0,0,1,0,0,0,1,0,0,161.0,SWK
2023-02-15,-0.1228,,1,0.1228,0.0,0,0,0,0,0,0,0,0,195.0,SWK
2023-02-17,0.3667,,1,0.3667,0.0,0,0,0,0,0,1,0,0,171.0,SWK
2023-02-19,0.2,,1,0.2,0.0,0,0,0,0,0,1,0,0,147.0,SWK
2023-02-21,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,42.0,SWK
2023-02-22,0.1149,,1,0.1149,0.0,0,0,0,0,0,1,0,0,188.0,SWK
2023-02-26,0.5,,1,0.5,0.0,0,0,0,0,0,1,0,0,226.0,SWK
2023-03-01,0.15,,1,0.15,0.0,0,0,0,0,0,1,0,0,168.0,SWK
2023-03-04,0.3524,,1,0.3524,0.0,0,0,0,0,0,1,0,0,233.0,SWK
2023-03-05,0.9,,1,0.9,0.0,0,1,0,0,0,0,0,0,153.0,SWK
2023-03-07,-0.0772,0.0857,2,0.0772,0.0,0,0,0,0,0,0,0,0,207.0,SWK
2023-03-13,0.1446,0.1237,2,0.1446,0.0,0,0,0,0,0,0,0,0,158.5,SWK
2023-03-14,0.2958,,1,0.2958,0.0,0,0,0,0,0,0,0,0,104.0,SWK
2023-03-16,-0.0516,,1,0.0516,0.0,0,0,0,0,0,0,0,0,741.0,SWK
2023-03-17,0.0792,,1,0.0792,0.0,0,0,0,0,0,0,0,0,190.0,SWK
2023-03-20,0.1061,0.1783,2,0.1261,0.0,0,0,0,0,0,0,0,0,156.0,SWK
2023-03-21,0.1731,0.1505,2,0.1731,0.0,0,0,0,0,0,0,0,0,165.5,SWK
2023-03-26,0.4714,0.101,2,0.4714,0.0,0,2,0,0,0,2,0,0,137.0,SWK
2023-03-28,-0.0812,0.0913,2,0.0812,0.0,0,0,0,0,0,0,0,0,222.5,SWK
2023-03-30,0.2795,,1,0.2795,0.0,0,0,0,0,0,0,0,0,104.0,SWK
2023-03-31,-0.1417,,1,0.1417,0.0,1,1,0,0,0,0,0,0,186.0,SWK
