title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
"Stocks Bounce Back Again, but Not Enough to Save the Week","Stocks Bounce Back Again, but Not Enough to Save the Week",2020-05-18 13:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25373,Zacks Investment Research,0.0,0.25,neutral,0.0,False,False,False,False,False,False,False,False,0.0,116,"['VNET', 'BAH', 'CAE', 'ESPR', 'TDOC', 'DPZ', 'SPOT', 'HEXO', 'CGC', 'HD', 'WMT', 'LOW', 'TGT', 'BBY', 'SPTN', 'MRTN', 'DOMO']",TGT,2020-05-18
"Dow, S&P Drop Over 1%, but Keep Most of the Recent Rally","Dow, S&P Drop Over 1%, but Keep Most of the Recent Rally",2020-05-20 13:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25404,Zacks Investment Research,0.25,0.375,positive,0.25,False,False,False,False,False,False,False,False,0.0,114,"['LVS', 'RCL', 'DRI', 'GDS', 'CDAY', 'IAC', 'RHP', 'VFC', 'MRNA', 'WMT', 'HD', 'LOW', 'TGT', 'BBY']",TGT,2020-05-20
Two Sharp Rallies in Three Days,Two Sharp Rallies in Three Days,2020-05-21 13:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25418,Zacks Investment Research,-0.125,0.75,negative,0.125,False,False,False,False,False,False,False,False,0.0,64,"['BJ', 'SPNS', 'CURO', 'FB', 'AMZN', 'TGT', 'LOW', 'HD', 'WMT', 'CUE', 'LZB', 'ALLT', 'MODN']",TGT,2020-05-21
"NASDAQ Makes It Look Easy, Gains 1% to New Closing High","NASDAQ Makes It Look Easy, Gains 1% to New Closing High",2020-08-18 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26366,Zacks Investment Research,0.24323232323232322,0.6092929292929293,positive,0.24323232323232322,False,False,False,False,False,False,False,False,0.0,112,"['UPWK', 'CHWY', 'HEAR', 'RVLV', 'QDEL', 'UNG', 'LNG', 'WMB', 'WMT', 'HD', 'TGT', 'LOW', 'NVDA', 'BABA', 'NTRA']",TGT,2020-08-18
S&P Finally Breaks Through and Sets a New Record,S&P Finally Breaks Through and Sets a New Record,2020-08-19 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26380,Zacks Investment Research,0.06818181818181818,0.7272727272727273,neutral,0.06818181818181818,False,False,False,False,False,False,False,False,0.0,98,"['ZIXI', 'ASUR', 'BJ', 'IPAR', 'STNE', 'TMUS', 'PVH', 'YNDX', 'PFGC', 'PDD', 'RUN', 'TTD', 'AMZN', 'GOOG', 'NFLX', 'TSLA', 'WMT', 'HD', 'LOW', 'TGT', 'NVDA']",TGT,2020-08-19
Record-Setting Pace Cools Off after Fed Minutes,Record-Setting Pace Cools Off after Fed Minutes,2020-08-20 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26394,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,96,"['WMS', 'LOCO', 'CYBE', 'CRSP', 'NTRA', 'SSYS', 'EXPI', 'AAPL', 'TGT', 'WMT', 'HD', 'NVDA', 'LOW']",TGT,2020-08-20
"S&P, NASDAQ Reach New Closing Highs to End a Positive Week","S&P, NASDAQ Reach New Closing Highs to End a Positive Week",2020-08-22 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26426,Zacks Investment Research,0.18181818181818182,0.5,positive,0.18181818181818182,False,False,False,False,False,False,False,False,0.0,118,"['PRTS', 'CINF', 'KEYS', 'RMBS', 'ACLS', 'NVDA', 'PFSW', 'FBC', 'AAPL', 'TSLA', 'TGT']",TGT,2020-08-22
Strong Start to the Week as Stocks Jump Over 1%,Strong Start to the Week as Stocks Jump Over 1%,2020-09-15 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26654,Zacks Investment Research,0.4333333333333333,0.7333333333333333,positive,0.4333333333333333,False,False,False,False,False,False,False,False,0.0,96,"['HL', 'MAXR', 'FUL', 'NVDA', 'BERY', 'OMI', 'SPWH', 'LL', 'VSTO', 'DVA', 'TPR', 'TGT', 'TPH', 'AAPL', 'ORCL', 'NVDA']",TGT,2020-09-15
New Week Begins With Third Straight Day of Gains,New Week Begins With Third Straight Day of Gains,2020-09-29 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26799,Zacks Investment Research,0.11212121212121212,0.28484848484848485,positive,0.11212121212121212,False,False,False,False,False,False,False,False,0.0,98,"['WHR', 'NVDA', 'AOUT', 'ARW', 'AYI', 'BJ', 'BBY', 'TGT', 'COST', 'BJ', 'BIG', 'LEN', 'OMI', 'SEE', 'TPR', 'AAPL', 'AMZN']",TGT,2020-09-29
NASDAQ Down for Fifth Straight Day as Stocks Slump Over 1%,NASDAQ Down for Fifth Straight Day as Stocks Slump Over 1%,2020-10-20 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27030,Zacks Investment Research,0.022222222222222213,0.34444444444444444,neutral,0.022222222222222213,False,False,False,False,False,False,False,False,0.0,118,"['VC', 'LEA', 'CROX', 'ZEN', 'EGAN', 'GLW', 'WSO', 'USX', 'TACO', 'TUFN', 'MAXR', 'LEN', 'DHI', 'PHM', 'JBL', 'LKQ', 'TGT', 'AAPL', 'GOOG', 'AMZN', 'FB', 'NFLX', 'PG', 'TXN', 'LMT', 'SNAP']",TGT,2020-10-20
