date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-04-23,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,90.0,TXN
2020-10-20,0.0222,,1,0.0222,0.0,0,0,0,0,0,0,0,0,118.0,TXN
2021-04-20,1.0,,1,1.0,0.0,0,0,0,0,0,1,0,0,115.0,TXN
2021-04-23,0.0096,0.07,4,0.046,0.0,4,1,1,0,1,0,0,0,239.0,TXN
2021-04-26,0.1236,0.1665,9,0.1236,0.0,8,0,1,0,2,0,0,0,321.0,TXN
2021-04-27,0.0937,0.1551,9,0.0937,0.0222,5,0,1,0,2,0,0,0,526.4444,TXN
2021-04-28,0.1261,0.2054,7,0.1261,0.0,3,2,2,0,0,0,0,0,195.1429,TXN
2021-04-29,0.1875,0.4419,2,0.3125,0.0,0,0,0,0,0,1,0,0,133.5,TXN
2021-04-30,0.4,,1,0.4,0.0,0,0,0,0,0,0,0,0,230.0,TXN
2021-05-03,-0.0125,,1,0.0125,0.0,0,0,0,0,0,1,0,0,209.0,TXN
2021-05-04,0.171,0.0975,3,0.171,0.0,2,0,0,0,0,0,0,0,101.0,TXN
2021-05-05,0.2815,,1,0.2815,0.0,1,1,0,0,0,0,0,0,241.0,TXN
2021-05-06,0.2,0.2828,2,0.2,0.0,0,0,0,0,1,0,0,0,225.0,TXN
2021-05-07,0.3806,,1,0.3806,0.0,0,0,0,0,0,1,0,0,206.0,TXN
2021-05-08,0.3048,,1,0.3048,0.0,0,0,0,0,0,1,0,0,248.0,TXN
2021-05-09,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,171.0,TXN
2021-05-10,-0.75,0.3536,2,0.75,0.0,0,0,1,0,0,0,0,0,169.5,TXN
2021-05-11,0.0,0.0,2,0.0,0.0,0,1,0,0,1,0,0,0,178.5,TXN
2021-05-12,0.0625,0.0884,2,0.0625,0.1,0,0,0,0,2,0,0,0,270.5,TXN
2021-05-13,-0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,160.0,TXN
2021-05-17,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,218.0,TXN
2021-05-18,0.0809,,1,0.0809,0.0,0,1,0,0,0,0,0,0,248.0,TXN
2021-05-19,0.14,0.2408,5,0.18,0.0,2,0,2,0,0,0,0,0,181.4,TXN
2021-05-21,0.3029,0.148,3,0.3029,0.0,1,2,1,0,0,0,0,0,151.6667,TXN
2021-05-22,0.5063,0.0619,2,0.5063,0.0,0,0,0,0,0,0,0,0,176.0,TXN
2021-05-24,0.0682,0.0964,2,0.0682,0.0,0,0,0,0,0,0,0,0,171.5,TXN
2021-05-25,0.2042,0.1709,2,0.2042,0.0,1,0,0,0,0,1,0,0,197.0,TXN
2021-05-26,0.1383,0.1579,2,0.1383,0.0,0,0,0,0,0,0,0,0,161.0,TXN
2021-05-27,0.0,0.0,2,0.0,0.0,1,0,0,0,0,0,0,0,208.0,TXN
2021-05-31,-0.125,,1,0.125,0.0,0,0,0,0,0,0,0,0,161.0,TXN
2021-06-02,0.0778,,1,0.0778,0.0,0,0,0,0,0,0,0,0,193.0,TXN
2021-06-03,0.4,,1,0.4,0.0,0,0,0,0,0,0,0,0,182.0,TXN
2021-06-04,0.0926,,1,0.0926,0.0,0,1,0,0,0,0,0,0,224.0,TXN
2021-06-07,0.0733,0.1037,2,0.0733,0.0,0,0,0,0,0,0,0,0,187.0,TXN
2021-06-08,0.0295,,1,0.0295,0.0,0,0,0,0,0,0,0,0,735.0,TXN
2021-06-09,-0.3,0.4243,2,0.3,0.0,0,1,0,0,1,0,0,0,265.5,TXN
2021-06-11,0.0462,0.0477,2,0.0462,0.0,0,0,0,0,0,0,0,0,205.5,TXN
2021-06-14,0.1169,0.1284,4,0.1169,0.0,0,0,0,0,1,0,0,0,200.75,TXN
2021-06-16,0.625,0.5303,2,0.625,0.0,0,0,0,0,0,0,1,0,192.5,TXN
2021-06-17,-0.0708,0.1827,2,0.1292,0.1,0,0,0,0,0,0,0,0,258.5,TXN
