date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2023-10-05,0.0116,,1,0.0116,0.0,0,0,1,0,0,0,0,0,10503.0,VLTO
2023-10-06,0.0725,0.145,2,0.1025,0.0,0,1,1,0,0,0,0,0,3851.0,VLTO
2023-10-16,-0.0038,,1,0.0038,0.0,0,1,1,0,0,0,0,0,8442.0,VLTO
2023-11-03,0.1341,,1,0.1341,0.0,0,0,1,0,0,0,0,0,448.0,VLTO
2023-11-29,0.1705,,1,0.1705,0.0,0,1,0,0,0,1,0,0,201.0,VLTO
2023-12-14,0.0,,1,0.0,0.0,0,1,0,0,0,0,1,0,256.0,VLTO
2024-01-09,-0.0203,,1,0.0203,0.0,0,1,1,0,0,0,0,0,1678.0,VLTO
2024-01-12,0.4286,,1,0.4286,0.0,0,0,0,0,0,0,0,0,110.0,VLTO
2024-01-24,0.2333,,1,0.2333,0.0,0,0,0,0,0,0,0,0,88.0,VLTO
2024-01-29,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,112.0,VLTO
2024-02-08,0.0084,,1,0.0084,0.0,0,1,1,0,0,0,0,0,1647.0,VLTO
2024-02-15,0.4286,,1,0.4286,0.0,0,0,0,0,0,0,0,0,110.0,VLTO
2024-02-21,0.2792,,1,0.2792,0.0,0,0,1,0,0,0,0,0,1196.0,VLTO
2024-02-27,0.1239,0.1699,2,0.1239,0.0,0,1,2,0,1,0,0,0,1149.5,VLTO
2024-03-04,0.112,0.1584,2,0.112,0.0,0,0,1,0,0,0,0,0,162.0,VLTO
2024-03-05,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,83.0,VLTO
2024-03-07,0.3619,,1,0.3619,0.0,0,0,0,0,1,0,0,0,174.0,VLTO
2024-03-14,0.1364,,1,0.1364,0.0,0,0,0,0,0,0,0,0,51.0,VLTO
2024-03-15,0.3111,,1,0.3111,0.0,0,0,0,0,0,0,0,0,91.0,VLTO
2024-03-22,-0.0042,,1,0.0042,0.2,0,1,1,0,0,0,0,0,1659.0,VLTO
2024-03-28,0.2333,,1,0.2333,0.0,0,0,0,0,0,0,0,0,88.0,VLTO
2024-04-08,0.6,,1,0.6,0.0,0,0,0,0,0,0,0,0,219.0,VLTO
2024-04-17,-0.0123,,1,0.0123,0.0,0,1,1,0,0,0,0,0,1656.0,VLTO
2024-05-10,0.0917,,1,0.0917,0.0,0,0,0,0,0,0,0,0,214.0,VLTO
2024-05-24,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,106.0,VLTO
2024-06-10,0.4286,,1,0.4286,0.0,0,0,0,0,0,0,0,0,108.0,VLTO
2024-06-24,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,183.0,VLTO
2024-06-26,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,110.0,VLTO
2024-09-24,0.0,,1,0.0,0.0,0,0,0,0,1,1,0,0,243.0,VLTO
2024-12-19,0.0,,1,0.0,0.0,0,0,0,0,1,1,0,0,229.0,VLTO
