date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2021-04-24,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,167.0,VTRS
2021-04-25,0.2589,,1,0.2589,0.0,0,1,0,0,0,1,0,0,132.0,VTRS
2021-04-26,1.0,,1,1.0,0.0,0,1,0,0,0,0,0,0,109.0,VTRS
2021-04-29,0.125,,1,0.125,0.0,1,0,0,0,0,0,0,0,216.0,VTRS
2021-05-04,0.25,,1,0.25,0.0,1,1,0,0,0,0,0,0,202.0,VTRS
2021-05-05,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,164.0,VTRS
2021-05-08,0.32,,1,0.32,0.0,0,0,0,0,0,0,0,0,231.0,VTRS
2021-05-09,0.2,0.2828,2,0.2,0.0,0,0,0,0,0,1,0,0,99.5,VTRS
2021-05-10,0.1323,0.233,4,0.1323,0.0,3,0,1,0,1,2,0,0,1714.0,VTRS
2021-05-12,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,192.0,VTRS
2021-05-19,-0.0167,,1,0.0167,0.0,0,0,0,0,0,0,0,0,234.0,VTRS
2021-05-26,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,216.0,VTRS
2021-05-27,0.0933,0.132,2,0.0933,0.0,0,0,0,0,0,0,0,0,163.5,VTRS
2021-05-29,0.38,,1,0.38,0.0,1,0,0,0,0,0,0,0,146.0,VTRS
2021-05-30,0.3762,0.1239,4,0.3762,0.0,0,2,0,0,1,1,0,0,160.0,VTRS
2021-05-31,0.5062,,1,0.5062,0.0,0,1,0,0,0,0,0,0,105.0,VTRS
2021-06-05,0.1796,,1,0.1796,0.0,0,1,0,0,0,0,0,0,153.0,VTRS
2021-06-06,0.1948,,1,0.1948,0.0,0,1,0,0,0,1,0,0,132.0,VTRS
2021-06-08,0.125,,1,0.125,0.0,0,0,0,0,0,1,0,0,107.0,VTRS
2021-06-10,0.5778,,1,0.5778,0.0,0,0,0,0,0,1,0,0,113.0,VTRS
2021-06-11,-0.0333,,1,0.0333,0.0,0,1,0,0,0,1,0,0,109.0,VTRS
2021-06-15,0.0663,,1,0.0663,0.0,0,1,0,0,0,0,0,0,7974.0,VTRS
2021-06-16,0.3167,,1,0.3167,0.0,0,0,0,0,0,1,0,0,156.0,VTRS
2021-06-22,-0.2083,,1,0.2083,0.0,0,0,0,0,0,0,0,0,273.0,VTRS
2021-06-24,0.1237,,1,0.1237,0.0,0,0,1,0,0,0,1,1,2906.0,VTRS
