date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-10-28,0.25,,1,0.25,0.0,0,0,0,0,0,0,0,0,116.0,V
2020-12-30,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,82.0,V
2021-01-06,0.2386,,1,0.2386,0.0,0,0,0,0,0,0,0,0,62.0,V
2021-03-20,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,112.0,V
2021-04-23,0.2521,0.3879,3,0.2521,0.0,1,0,0,0,0,0,0,0,155.6667,V
2021-04-25,0.3021,0.2799,2,0.3021,0.0,0,1,0,0,0,0,0,0,122.0,V
2021-04-26,0.282,0.2639,5,0.2953,0.0,2,1,0,0,0,0,0,0,2628.6,V
2021-04-27,0.2833,0.2977,7,0.2833,0.0,4,0,0,0,2,0,0,0,413.7143,V
2021-04-28,0.1051,0.2052,9,0.1553,0.0,5,1,0,0,0,0,0,0,1079.0,V
2021-04-29,0.1667,,1,0.1667,0.0,1,0,0,0,0,0,0,0,197.0,V
2021-04-30,0.2382,0.1404,2,0.2382,0.0,0,0,1,0,0,0,0,0,459.5,V
2021-05-02,0.3851,0.516,2,0.3851,0.0,0,0,0,0,0,0,0,0,206.5,V
2021-05-03,-0.1139,0.032,3,0.1139,0.0,1,0,0,0,0,1,0,0,200.0,V
2021-05-04,0.55,,1,0.55,0.0,0,0,0,0,0,0,0,0,93.0,V
2021-05-05,0.195,0.0165,2,0.195,0.0,1,0,0,0,0,0,0,0,183.0,V
2021-05-06,0.0583,,1,0.0583,0.0,0,0,0,0,0,0,0,0,164.0,V
2021-05-07,0.1211,0.1844,3,0.1211,0.0,2,1,0,0,0,0,0,0,145.3333,V
2021-05-08,0.03,,1,0.03,0.0,1,1,0,0,0,0,0,0,191.0,V
2021-05-10,0.4024,,1,0.4024,0.0,0,0,0,0,0,0,0,0,232.0,V
2021-05-11,0.1802,0.0954,6,0.1802,0.0,0,2,0,0,0,2,1,0,341.3333,V
2021-05-12,0.0561,0.0793,2,0.0561,0.0,0,0,0,0,1,0,0,0,158.0,V
2021-05-13,0.3889,0.2671,2,0.3889,0.0,0,0,0,0,0,0,0,0,178.5,V
2021-05-14,0.5778,,1,0.5778,0.0,0,1,0,0,0,0,0,0,106.0,V
2021-05-15,0.4333,0.0,2,0.4333,0.0,0,0,0,0,0,0,0,0,139.5,V
2021-05-16,-0.0093,,1,0.0093,0.0,0,0,0,0,0,0,0,0,163.0,V
2021-05-17,0.0125,,1,0.0125,0.0,0,0,0,0,0,0,0,0,541.0,V
2021-05-18,0.3742,0.385,2,0.3742,0.0,0,0,0,0,0,1,0,0,461.0,V
