date,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_count,sentiment_confidence_mean,urgency_score_mean,keywords_earnings_sum,keywords_acquisition_sum,keywords_regulation_sum,keywords_partnership_sum,keywords_product_sum,keywords_financial_sum,keywords_leadership_sum,keywords_lawsuit_sum,text_length_mean,ticker
2020-08-07,0.0682,,1,0.0682,0.0,0,0,0,0,0,0,0,0,106.0,WAB
2020-11-02,0.0333,,1,0.0333,0.0,1,0,1,0,0,0,0,0,112.0,WAB
2021-04-23,-0.1,,1,0.1,0.0,1,0,0,0,0,0,1,0,200.0,WAB
2021-04-27,0.1056,0.1005,3,0.1056,0.0,3,0,0,0,0,0,0,0,225.0,WAB
2021-04-28,0.1835,,1,0.1835,0.0,0,0,1,0,0,1,0,0,3892.0,WAB
2021-04-29,0.0083,0.0165,4,0.0083,0.0,4,0,0,0,1,0,0,0,2802.25,WAB
2021-05-20,0.0,,1,0.0,0.0,0,1,0,0,0,0,0,0,150.0,WAB
2021-06-15,-0.0193,0.2202,2,0.1557,0.0,0,0,0,0,0,0,0,0,123.5,WAB
2021-06-16,0.15,,1,0.15,0.0,0,0,0,0,0,0,0,0,230.0,WAB
2021-06-17,0.175,0.1768,2,0.175,0.0,0,0,0,0,0,0,0,0,167.0,WAB
2021-06-22,-0.0929,,1,0.0929,0.0,0,0,0,0,0,0,0,0,212.0,WAB
2021-06-28,-0.1,,1,0.1,0.0,0,0,0,0,0,0,0,0,160.0,WAB
2021-07-06,-0.4,,1,0.4,0.0,0,0,0,0,0,0,0,0,225.0,WAB
2021-07-22,0.0571,,1,0.0571,0.0,1,0,0,0,0,0,0,0,260.0,WAB
2021-07-26,-0.1,,1,0.1,0.0,1,0,0,0,0,0,1,0,213.0,WAB
2021-07-27,0.25,,1,0.25,0.0,1,0,0,0,0,0,0,0,259.0,WAB
2021-07-28,0.1535,0.133,3,0.1535,0.0,3,0,0,0,0,0,0,0,196.6667,WAB
2021-07-29,0.0833,0.1443,3,0.0833,0.0,3,0,0,0,0,0,0,0,172.3333,WAB
2021-08-04,-0.1556,,1,0.1556,0.0,0,0,0,0,0,0,0,0,139.0,WAB
2021-08-13,0.0,,1,0.0,0.0,0,0,0,0,0,0,1,0,202.0,WAB
2021-09-02,0.4556,,1,0.4556,0.0,0,0,0,0,0,0,0,0,253.0,WAB
2021-09-11,-0.1333,,1,0.1333,0.0,0,0,0,0,0,0,0,0,111.0,WAB
2021-09-14,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,234.0,WAB
2021-09-21,0.4286,,1,0.4286,0.0,0,0,0,0,0,0,0,0,110.0,WAB
2021-09-23,0.1333,,1,0.1333,0.0,0,0,0,0,0,0,0,0,279.0,WAB
2021-09-29,0.1429,,1,0.1429,0.0,0,1,0,0,0,0,0,0,114.0,WAB
2021-10-12,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,180.0,WAB
2021-10-20,0.031,,1,0.031,0.0,1,0,0,0,1,0,0,0,280.0,WAB
2021-10-22,-0.1,,1,0.1,0.0,1,0,0,0,0,0,0,0,146.0,WAB
2021-10-27,-0.3,0.4243,2,0.3,0.0,2,0,0,0,0,0,0,0,202.0,WAB
2021-10-28,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,132.0,WAB
2021-11-08,0.165,,1,0.165,0.0,1,0,0,0,0,0,0,0,213.0,WAB
2021-12-29,0.1883,,1,0.1883,0.0,0,0,0,0,0,0,0,0,172.0,WAB
2022-01-06,-0.45,,1,0.45,0.0,0,1,0,0,1,0,0,0,188.0,WAB
2022-02-04,0.14,,1,0.14,0.0,0,0,1,0,0,0,0,0,929.0,WAB
2022-02-09,0.0155,0.0219,2,0.0155,0.0,2,0,0,0,1,0,0,0,215.5,WAB
2022-02-16,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,192.5,WAB
2022-02-17,0.075,0.2475,2,0.175,0.0,0,0,0,0,0,0,1,0,212.0,WAB
2022-02-19,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,167.0,WAB
2022-02-22,0.0125,,1,0.0125,0.0,1,0,0,0,0,0,0,0,890.0,WAB
2022-03-01,0.2007,,1,0.2007,0.0,0,0,0,0,0,0,0,0,153.0,WAB
2022-03-03,0.4444,,1,0.4444,0.0,0,0,0,0,0,0,0,0,218.0,WAB
2022-03-09,0.0,,1,0.0,0.0,0,0,0,1,0,0,0,0,254.0,WAB
2022-03-10,0.0,,1,0.0,0.0,0,0,1,0,0,0,0,0,191.0,WAB
2022-03-18,-0.0519,,1,0.0519,0.0,1,0,0,0,0,0,0,0,191.0,WAB
2022-04-05,0.3667,,1,0.3667,0.0,0,0,0,0,1,0,0,0,196.0,WAB
2022-04-20,0.0571,,1,0.0571,0.0,1,0,0,0,0,0,0,0,266.0,WAB
2022-04-21,0.5,,1,0.5,0.0,0,0,0,0,0,0,0,0,97.0,WAB
2022-04-22,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,169.0,WAB
2022-04-27,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,202.5,WAB
2022-04-28,0.035,,1,0.035,0.0,0,1,0,0,0,0,0,0,4132.0,WAB
2022-05-23,0.0509,,1,0.0509,0.0,0,1,1,0,0,0,0,0,4835.0,WAB
2022-05-24,0.5778,,1,0.5778,0.0,0,0,0,0,0,0,0,0,241.0,WAB
2022-05-27,-0.0519,,1,0.0519,0.0,1,0,0,0,0,0,0,0,191.0,WAB
2022-06-06,0.3444,,1,0.3444,0.0,0,0,0,0,0,0,0,0,236.0,WAB
2022-06-07,0.0432,,1,0.0432,0.0,0,0,0,0,1,0,0,0,257.0,WAB
2022-06-17,0.0,,1,0.0,0.0,0,1,0,0,1,0,0,0,239.0,WAB
2022-06-23,0.1978,,1,0.1978,0.0,0,1,0,0,0,0,0,0,173.0,WAB
2022-07-18,0.1067,,1,0.1067,0.0,0,0,0,0,0,0,0,0,736.0,WAB
2022-07-27,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,244.0,WAB
2022-07-28,0.0708,0.1002,2,0.0708,0.0,2,0,0,0,0,0,0,0,256.0,WAB
2022-07-29,0.0571,,1,0.0571,0.0,1,0,0,0,0,0,0,0,266.0,WAB
2022-08-02,0.5,,1,0.5,0.0,0,1,0,0,0,0,0,0,112.0,WAB
2022-08-03,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,131.0,WAB
2022-08-05,0.1266,0.1718,6,0.1266,0.0,5,0,2,0,1,0,0,0,403.0,WAB
2022-08-08,0.0967,,1,0.0967,0.0,0,0,0,0,0,0,0,0,699.0,WAB
2022-08-18,0.2958,0.2718,3,0.3042,0.0,0,1,2,0,1,0,0,0,2539.6667,WAB
2022-08-20,0.0667,,1,0.0667,0.0,0,0,0,0,0,0,0,0,194.0,WAB
2022-09-05,0.4286,,1,0.4286,0.0,0,0,0,0,0,0,0,0,110.0,WAB
2022-09-21,0.16,,1,0.16,0.0,0,0,0,0,0,0,0,0,109.0,WAB
2022-10-25,0.0186,0.0263,2,0.0186,0.0,2,1,0,0,0,0,0,0,242.5,WAB
2022-10-27,0.031,,1,0.031,0.0,1,0,0,0,1,0,0,0,255.0,WAB
2022-10-31,0.0167,0.0289,3,0.0167,0.0,3,0,0,0,0,0,0,0,198.0,WAB
2022-11-01,0.125,0.1768,2,0.125,0.0,2,0,0,0,0,0,0,0,196.0,WAB
2022-11-18,0.2917,,1,0.2917,0.0,0,1,0,0,0,0,0,0,160.0,WAB
2022-12-01,0.0333,,1,0.0333,0.0,0,0,0,0,0,0,1,0,350.0,WAB
2022-12-16,0.0667,,1,0.0667,0.0,0,0,0,0,0,0,1,0,300.0,WAB
2023-01-16,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,95.0,WAB
2023-02-02,0.2143,,1,0.2143,0.0,1,0,0,0,0,0,0,0,231.0,WAB
2023-02-08,0.0686,0.0162,2,0.0686,0.0,2,0,0,0,0,0,0,0,211.5,WAB
2023-02-09,0.0186,0.0263,2,0.0186,0.0,1,0,0,0,0,0,1,0,262.0,WAB
2023-02-10,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,148.0,WAB
2023-02-13,0.0625,0.0884,2,0.0625,0.0,2,0,0,0,0,0,0,0,180.5,WAB
2023-02-14,0.0,,1,0.0,0.0,1,0,0,0,0,0,0,0,246.0,WAB
2023-02-15,0.0,0.0,2,0.0,0.0,2,0,0,0,0,0,0,0,194.0,WAB
2023-02-16,-0.3,,1,0.3,0.0,0,0,0,0,0,1,0,0,193.0,WAB
2023-02-21,0.0556,,1,0.0556,0.0,0,0,0,0,0,0,0,0,656.0,WAB
2023-03-20,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,96.0,WAB
2023-03-21,0.15,,1,0.15,0.0,0,0,0,0,0,0,1,0,451.0,WAB
2023-03-22,0.2,,1,0.2,0.0,0,0,0,0,0,0,0,0,263.0,WAB
2023-03-23,0.0,,1,0.0,0.0,0,0,0,0,0,0,0,0,200.0,WAB
2023-04-11,0.0533,,1,0.0533,0.0,1,0,0,0,0,1,0,0,186.0,WAB
2023-04-20,0.08,,1,0.08,0.0,1,0,0,0,0,0,0,0,131.0,WAB
2023-04-24,0.0371,,1,0.0371,0.0,1,0,0,0,0,0,0,0,236.0,WAB
2023-04-25,0.25,0.3536,2,0.25,0.0,2,0,0,0,1,0,0,0,209.5,WAB
2023-04-26,0.125,0.1768,2,0.125,0.0,2,0,0,0,0,0,0,0,196.5,WAB
2023-04-27,0.06,,1,0.06,0.0,0,0,0,0,0,0,0,0,691.0,WAB
